frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,154.6,,,,,,,,,,12,812,613,,,,,,,,,,,,,,,
1,154.6,,,,,,,,,,12,812,613,,,,,,,,,,,,,,,
2,311.2,,,,,,,,,,12,810,612,,,,,,,,,,,,,,,
3,339.5,13,513,616,,,,,,,13,810,612,,,,,,,,,,,,,,,
4,371.9,13,512,617,,,,,,,13,809,611,,,,,,,,,,,,,,,
5,371.9,14,512,615,,,,,,,13,808,611,,,,,,,,,,,,,,,
6,383.6,14,512,615,,,,,,,12,808,611,,,,,,,,,,,,,,,
7,398.7,13,511,614,,,,,,,13,809,611,,,,,,,,,,,,,,,
8,409.3,13,511,613,,,,,,,12,808,609,,,,,,,,,,,,,,,
9,423.5,14,512,612,,,,,,,13,809,609,,,,,,,,,,,,,,,
10,434.1,14,512,612,,,,,,,12,809,608,,,,,,,,,,,,,,,
11,445.3,14,512,613,,,,,,,13,810,608,,,,,,,,,,,,,,,
12,466.0,13,513,612,,,,,,,13,810,609,,,,,,,,,,,,,,,
13,483.5,13,512,612,,,,,,,12,811,608,,,,,,,,,,,,,,,
14,483.5,14,514,613,,,,,,,13,812,608,,,,,,,,,,,,,,,
15,538.4,14,515,613,,,,,,,12,813,609,,,,,,,,,,,,,,,
16,578.7,14,516,613,,,,,,,12,813,608,,,,,,,,,,,,,,,
17,595.0,14,517,614,,,,,,,12,814,610,,,,,,,,,,,,,,,
18,610.1,14,518,615,,,,,,,13,814,611,,,,,,,,,,,,,,,
19,644.7,13,519,615,,,,,,,13,816,611,,,,,,,,,,,,,,,
20,674.4,14,519,616,,,,,,,13,816,612,,,,,,,,,,,,,,,
21,710.6,13,520,617,,,,,,,12,817,611,,,,,,,,,,,,,,,
22,748.9,13,520,618,,,,,,,13,818,613,,,,,,,,,,,,,,,
23,774.8,14,520,619,,,,,,,13,817,613,,,,,,,,,,,,,,,
24,809.9,14,520,618,,,,,,,12,816,613,,,,,,,,,,,,,,,
25,845.0,14,521,618,,,,,,,12,817,612,,,,,,,,,,,,,,,
26,887.9,13,521,617,,,,,,,12,816,612,,,,,,,,,,,,,,,
27,910.4,14,521,615,,,,,,,12,817,611,,,,,,,,,,,,,,,
