frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,149.0,15,64,880,,,,,,,,,,,,,,,,14,947,393,,,,,,,17,1025,63,,,,,,,14,811,866,,,,,,
1,149.0,15,63,880,,,,,,,,,,,,,,,,14,947,392,,,,,,,8,1095,33,,,,,,,14,811,866,,,,,,
2,305.8,15,63,880,,,,,,,,,,,,,,,,14,947,393,,,,,,,,,,,,,,,,14,811,865,,,,,,
3,329.2,15,64,879,,,,,,,,,,,,,,,,14,947,394,,,,,,,,,,,,,,,,15,811,866,,,,,,
4,351.6,15,64,879,,,,,,,,,,,,,,,,14,947,393,,,,,,,,,,,,,,,,15,811,865,,,,,,
5,373.8,15,64,879,,,,,,,,,,,,,,,,14,947,392,,,,,,,,,,,,,,,,15,811,865,,,,,,
6,373.8,15,63,879,,,,,,,,,,,,,,,,15,946,393,,,,,,,,,,,,,,,,15,811,865,,,,,,
7,399.9,15,64,879,,,,,,,,,,,,,,,,14,947,393,,,,,,,,,,,,,,,,15,811,865,,,,,,
8,399.9,15,64,879,,,,,,,,,,,,,,,,15,947,394,,,,,,,,,,,,,,,,15,812,865,,,,,,
9,412.3,15,63,879,,,,,,,,,,,,,,,,14,947,393,,,,,,,,,,,,,,,,14,811,866,,,,,,
10,423.7,15,63,879,,,,,,,,,,,,,,,,14,947,394,,,,,,,,,,,,,,,,15,810,866,,,,,,
11,436.6,15,64,880,,,,,,,,,,,,,,,,14,947,393,,,,,,,,,,,,,,,,15,811,866,,,,,,
12,450.1,15,64,879,,,,,,,,,,,,,,,,14,947,393,,,,,,,,,,,,,,,,15,812,865,,,,,,
13,475.9,15,64,879,,,,,,,,,,,,,,,,14,947,393,,,,,,,,,,,,,,,,15,811,865,,,,,,
14,475.9,15,63,879,,,,,,,,,,,,,,,,14,946,394,,,,,,,,,,,,,,,,15,811,865,,,,,,
15,508.5,15,64,879,,,,,,,,,,,,,,,,14,947,393,,,,,,,,,,,,,,,,15,811,865,,,,,,
16,547.7,15,64,879,,,,,,,,,,,,,,,,14,947,393,,,,,,,8,1092,352,,,,,,,15,812,865,,,,,,
17,574.0,15,64,880,,,,,,,,,,,,,,,,14,947,393,,,,,,,,,,,,,,,,15,811,866,,,,,,
18,604.4,15,63,879,,,,,,,,,,,,,,,,14,946,394,,,,,,,,,,,,,,,,15,811,866,,,,,,
19,640.0,15,63,879,,,,,,,,,,,,,,,,14,947,394,,,,,,,,,,,,,,,,15,811,866,,,,,,
20,672.6,15,64,880,,,,,,,,,,,,,,,,14,947,393,,,,,,,,,,,,,,,,15,812,866,,,,,,
21,704.6,15,64,880,,,,,,,,,,,,,,,,14,947,394,,,,,,,,,,,,,,,,15,811,865,,,,,,
22,739.9,15,63,879,,,,,,,,,,,,,,,,14,946,392,,,,,,,,,,,,,,,,15,811,865,,,,,,
23,781.7,15,64,880,,,,,,,,,,,,,,,,15,945,393,,,,,,,,,,,,,,,,15,811,865,,,,,,
24,804.9,15,64,880,,,,,,,,,,,,,,,,15,945,392,,,,,,,,,,,,,,,,15,812,865,,,,,,
25,840.4,15,64,880,,,,,,,,,,,,,,,,14,946,393,,,,,,,,,,,,,,,,15,811,865,,,,,,
26,872.4,15,63,879,,,,,,,,,,,,,,,,15,946,394,,,,,,,,,,,,,,,,15,812,865,,,,,,
27,904.5,15,63,880,,,,,,,,,,,,,,,,14,947,394,,,,,,,,,,,,,,,,15,811,866,,,,,,
28,940.1,15,64,880,,,,,,,,,,,,,,,,14,947,394,,,,,,,,,,,,,,,,15,812,866,,,,,,
