frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,139.3,15,64,880,,,,,,,11,927,194,,,,,,,14,911,337,,,,,,,35,1046,111,,,,,,,14,812,866,,,,,,
1,139.3,15,64,881,,,,,,,12,930,199,,,,,,,14,911,337,,,,,,,11,1067,120,,,,,,,14,812,866,,,,,,
2,272.0,15,64,881,,,,,,,12,930,203,,,,,,,14,911,337,,,,,,,9,1065,123,,,,,,,14,811,866,,,,,,
3,307.6,15,64,880,,,,,,,12,930,211,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
4,317.9,15,65,880,,,,,,,12,928,219,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
5,317.9,15,65,880,,,,,,,12,926,227,,,,,,,14,912,338,,,,,,,6,1009,126,,,,,,,14,812,866,,,,,,
6,339.3,15,64,880,,,,,,,12,921,229,,,,,,,14,911,338,,,,,,,7,1045,127,,,,,,,14,811,866,,,,,,
7,339.3,15,64,880,,,,,,,12,916,230,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
8,350.8,15,65,880,,,,,,,12,911,230,,,,,,,14,911,337,,,,,,,8,1010,126,,,,,,,14,811,866,,,,,,
9,362.6,15,64,880,,,,,,,12,905,233,,,,,,,14,911,338,,,,,,,10,1031,123,,,,,,,14,811,866,,,,,,
10,372.9,15,64,881,,,,,,,12,898,240,,,,,,,14,911,338,,,,,,,8,1020,129,,,,,,,14,812,866,,,,,,
11,384.8,15,65,881,,,,,,,12,893,247,,,,,,,14,912,338,,,,,,,12,1022,127,,,,,,,14,812,866,,,,,,
12,411.8,15,64,880,,,,,,,12,888,255,,,,,,,14,911,338,,,,,,,13,1017,130,,,,,,,14,812,866,,,,,,
13,446.0,15,64,880,,,,,,,12,883,261,,,,,,,14,912,338,,,,,,,9,1010,133,,,,,,,14,812,866,,,,,,
14,479.1,15,64,880,,,,,,,12,878,266,,,,,,,14,911,338,,,,,,,17,995,139,,,,,,,14,811,866,,,,,,
15,510.4,15,64,880,,,,,,,12,874,270,,,,,,,14,911,338,,,,,,,6,975,146,,,,,,,14,811,866,,,,,,
16,542.9,15,64,880,,,,,,,12,870,274,,,,,,,14,911,338,,,,,,,25,982,144,,,,,,,14,811,866,,,,,,
17,612.8,15,65,880,,,,,,,12,867,277,,,,,,,14,912,338,,,,,,,13,969,151,,,,,,,14,812,866,,,,,,
18,642.7,15,65,880,,,,,,,12,864,281,,,,,,,14,912,338,,,,,,,24,976,153,,,,,,,14,811,866,,,,,,
19,642.7,15,64,880,,,,,,,12,861,285,,,,,,,14,911,338,,,,,,,7,971,159,,,,,,,14,811,866,,,,,,
20,678.4,15,64,880,,,,,,,12,860,287,,,,,,,14,911,338,,,,,,,10,988,152,,,,,,,14,812,866,,,,,,
21,710.9,15,65,880,,,,,,,12,858,288,,,,,,,14,912,339,,,,,,,11,967,164,,,,,,,14,812,866,,,,,,
22,743.6,15,64,880,,,,,,,12,858,288,,,,,,,14,912,339,,,,,,,10,988,157,,,,,,,14,812,866,,,,,,
23,778.6,15,64,880,,,,,,,12,858,288,,,,,,,14,912,339,,,,,,,14,1001,154,,,,,,,14,812,866,,,,,,
24,814.1,15,64,880,,,,,,,12,858,289,,,,,,,14,912,339,,,,,,,10,1013,149,,,,,,,14,812,866,,,,,,
25,847.8,15,65,880,,,,,,,12,859,289,,,,,,,14,913,339,,,,,,,13,957,169,,,,,,,14,812,866,,,,,,
26,878.7,15,64,880,,,,,,,12,858,289,,,,,,,14,913,339,,,,,,,8,994,154,,,,,,,14,812,866,,,,,,
27,911.6,15,64,880,,,,,,,12,858,289,,,,,,,14,913,339,,,,,,,23,1003,154,,,,,,,14,812,866,,,,,,
28,942.7,15,65,880,,,,,,,12,858,289,,,,,,,14,912,338,,,,,,,8,990,150,,,,,,,14,812,866,,,,,,
