frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,152.4,15,64,880,,,,,,,9,889,299,,,,,,,14,911,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
1,152.4,15,64,880,,,,,,,11,891,299,,,,,,,14,912,338,,,,,,,10,1054,125,,,,,,,14,811,866,,,,,,
2,313.4,15,64,880,,,,,,,12,891,300,,,,,,,14,911,338,,,,,,,5,1042,125,,,,,,,14,811,866,,,,,,
3,331.3,15,63,880,,,,,,,,,,,,,,,,14,912,338,,,,,,,25,990,141,,,,,,,6,809,856,,,,,,
4,354.1,15,64,880,,,,,,,6,885,300,,,,,,,14,912,338,,,,,,,14,985,144,,,,,,,6,811,856,,,,,,
5,366.8,15,64,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,38,979,150,,,,,,,9,811,859,,,,,,
6,381.3,15,63,881,,,,,,,,,,,,,,,,13,912,338,,,,,,,41,979,150,,,,,,,11,811,861,,,,,,
7,402.7,15,64,881,,,,,,,,,,,,,,,,13,911,338,,,,,,,44,979,150,,,,,,,11,810,862,,,,,,
8,411.9,15,64,880,,,,,,,9,889,299,,,,,,,13,911,338,,,,,,,26,991,145,,,,,,,12,810,862,,,,,,
9,421.1,15,63,880,,,,,,,8,886,301,,,,,,,13,912,338,,,,,,,30,978,153,,,,,,,10,812,860,,,,,,
10,428.1,15,63,881,,,,,,,6,884,297,,,,,,,13,911,337,,,,,,,27,996,142,,,,,,,12,810,862,,,,,,
11,441.7,15,64,880,,,,,,,5,883,297,,,,,,,14,910,337,,,,,,,32,992,146,,,,,,,12,811,862,,,,,,
12,479.0,15,64,881,,,,,,,9,888,299,,,,,,,14,911,337,,,,,,,24,989,144,,,,,,,13,810,863,,,,,,
13,479.0,15,64,880,,,,,,,6,884,298,,,,,,,14,910,337,,,,,,,42,978,152,,,,,,,13,810,863,,,,,,
14,507.2,14,64,881,,,,,,,7,884,298,,,,,,,14,910,337,,,,,,,45,979,151,,,,,,,12,810,862,,,,,,
15,564.4,14,64,881,,,,,,,8,885,300,,,,,,,14,910,337,,,,,,,42,979,152,,,,,,,13,810,863,,,,,,
16,588.5,15,64,881,,,,,,,9,888,299,,,,,,,14,911,337,,,,,,,31,973,153,,,,,,,12,811,864,,,,,,
17,588.5,15,64,881,,,,,,,,,,,,,,,,13,911,337,,,,,,,39,989,151,,,,,,,12,811,863,,,,,,
18,607.3,15,64,881,,,,,,,7,885,298,,,,,,,13,911,337,,,,,,,23,991,144,,,,,,,13,810,864,,,,,,
19,644.1,15,63,881,,,,,,,7,883,300,,,,,,,13,911,338,,,,,,,38,985,147,,,,,,,12,810,861,,,,,,
20,675.0,15,64,881,,,,,,,6,884,297,,,,,,,13,911,338,,,,,,,46,981,150,,,,,,,12,811,862,,,,,,
21,707.0,15,64,881,,,,,,,7,884,300,,,,,,,13,911,338,,,,,,,28,992,144,,,,,,,12,811,863,,,,,,
22,742.5,15,63,880,,,,,,,9,885,302,,,,,,,14,911,337,,,,,,,24,994,142,,,,,,,10,811,861,,,,,,
23,774.0,15,64,880,,,,,,,6,884,298,,,,,,,14,912,338,,,,,,,14,936,205,,,,,,,12,810,862,,,,,,
24,806.2,15,63,880,,,,,,,10,888,302,,,,,,,13,912,338,,,,,,,42,982,149,,,,,,,12,811,863,,,,,,
25,842.3,15,64,880,,,,,,,7,885,299,,,,,,,13,912,338,,,,,,,24,991,140,,,,,,,12,810,863,,,,,,
26,874.2,14,64,881,,,,,,,,,,,,,,,,13,912,338,,,,,,,36,980,151,,,,,,,12,811,863,,,,,,
27,906.5,15,63,881,,,,,,,9,888,300,,,,,,,13,912,338,,,,,,,19,992,141,,,,,,,12,810,863,,,,,,
28,942.0,15,63,880,,,,,,,7,886,298,,,,,,,13,912,339,,,,,,,18,988,143,,,,,,,12,811,864,,,,,,
29,976.2,15,64,881,,,,,,,,,,,,,,,,13,912,338,,,,,,,15,994,138,,,,,,,13,811,864,,,,,,
30,1007.2,15,64,881,,,,,,,8,886,299,,,,,,,13,912,338,,,,,,,15,986,144,,,,,,,12,811,863,,,,,,
31,1045.7,15,63,880,,,,,,,8,886,299,,,,,,,13,912,338,,,,,,,16,988,142,,,,,,,12,811,864,,,,,,
32,1076.4,15,64,880,,,,,,,,,,,,,,,,13,912,338,,,,,,,19,990,140,,,,,,,12,810,864,,,,,,
33,1107.4,15,64,881,,,,,,,5,884,300,,,,,,,14,912,339,,,,,,,11,937,206,,,,,,,14,811,866,,,,,,
34,1143.9,15,64,881,,,,,,,6,884,302,,,,,,,13,912,338,,,,,,,25,986,143,,,,,,,12,811,862,,,,,,
