frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,156.3,15,65,881,,,,,,,12,1001,570,,,,,,,15,1053,646,,,,,,,,,,,,,,,,14,815,865,,,,,,
1,156.3,15,65,880,,,,,,,12,1001,571,,,,,,,15,1053,646,,,,,,,,,,,,,,,,14,815,865,,,,,,
2,310.4,15,65,880,,,,,,,12,1001,571,,,,,,,15,1053,646,,,,,,,,,,,,,,,,14,814,864,,,,,,
3,336.3,15,66,880,,,,,,,13,1001,571,,,,,,,15,1053,648,,,,,,,,,,,,,,,,15,814,865,,,,,,
4,373.2,15,66,881,,,,,,,13,1001,572,,,,,,,15,1053,648,,,,,,,,,,,,,,,,15,815,865,,,,,,
5,373.2,15,66,881,,,,,,,13,1001,572,,,,,,,15,1053,649,,,,,,,,,,,,,,,,15,815,865,,,,,,
6,383.6,15,65,881,,,,,,,13,1001,572,,,,,,,15,1053,649,,,,,,,,,,,,,,,,15,815,865,,,,,,
7,393.5,15,65,880,,,,,,,13,1001,572,,,,,,,15,1053,648,,,,,,,,,,,,,,,,15,815,865,,,,,,
8,403.1,15,66,880,,,,,,,13,1001,572,,,,,,,15,1053,649,,,,,,,,,,,,,,,,14,815,864,,,,,,
9,413.9,15,66,880,,,,,,,13,1001,572,,,,,,,15,1053,647,,,,,,,,,,,,,,,,15,815,864,,,,,,
10,424.6,15,66,880,,,,,,,13,1001,572,,,,,,,15,1053,649,,,,,,,,,,,,,,,,14,815,864,,,,,,
11,435.2,15,66,880,,,,,,,13,1001,572,,,,,,,15,1053,649,,,,,,,,,,,,,,,,14,815,864,,,,,,
12,446.0,15,66,880,,,,,,,13,1001,572,,,,,,,15,1053,649,,,,,,,,,,,,,,,,15,815,865,,,,,,
13,457.0,15,66,881,,,,,,,13,1002,573,,,,,,,15,1053,649,,,,,,,,,,,,,,,,15,815,865,,,,,,
14,478.7,15,65,881,,,,,,,13,1001,573,,,,,,,15,1053,650,,,,,,,,,,,,,,,,15,814,865,,,,,,
15,507.7,15,65,881,,,,,,,13,1002,573,,,,,,,15,1053,650,,,,,,,,,,,,,,,,15,814,865,,,,,,
16,542.9,15,66,880,,,,,,,13,1002,573,,,,,,,15,1053,648,,,,,,,,,,,,,,,,15,815,865,,,,,,
17,574.4,15,66,880,,,,,,,13,1002,573,,,,,,,15,1054,649,,,,,,,,,,,,,,,,15,815,865,,,,,,
18,610.4,15,66,880,,,,,,,13,1001,572,,,,,,,15,1053,649,,,,,,,,,,,,,,,,15,815,864,,,,,,
19,651.8,15,66,880,,,,,,,13,1001,572,,,,,,,15,1053,649,,,,,,,,,,,,,,,,15,815,864,,,,,,
20,687.9,15,66,880,,,,,,,13,1001,572,,,,,,,15,1053,649,,,,,,,,,,,,,,,,14,815,864,,,,,,
