frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,152.5,15,65,880,,,,,,,,,,,,,,,,15,1079,813,,,,,,,8,818,865,,,,,,
1,152.5,15,65,880,,,,,,,,,,,,,,,,15,1079,814,,,,,,,8,819,866,,,,,,
2,324.7,15,65,880,,,,,,,,,,,,,,,,15,1079,814,,,,,,,,,,,,,,,
3,369.6,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,815,,,,,,,14,814,866,,,,,,
4,383.0,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,815,,,,,,,14,814,866,,,,,,
5,397.6,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,814,,,,,,,14,814,866,,,,,,
6,397.6,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,814,,,,,,,14,813,866,,,,,,
7,411.9,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,814,,,,,,,14,814,866,,,,,,
8,429.7,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,814,,,,,,,14,814,866,,,,,,
9,441.8,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,814,,,,,,,14,813,866,,,,,,
10,454.5,15,66,880,,,,,,,14,1058,728,,,,,,,15,1079,814,,,,,,,14,813,866,,,,,,
11,466.2,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,814,,,,,,,14,814,866,,,,,,
12,493.3,15,66,880,,,,,,,14,1059,728,,,,,,,15,1080,815,,,,,,,14,814,866,,,,,,
13,516.7,15,65,881,,,,,,,14,1058,729,,,,,,,15,1079,815,,,,,,,14,813,866,,,,,,
14,532.5,15,66,880,,,,,,,14,1058,728,,,,,,,15,1079,815,,,,,,,14,813,866,,,,,,
15,549.3,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,814,,,,,,,14,814,866,,,,,,
16,575.2,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,814,,,,,,,14,814,866,,,,,,
17,575.2,15,65,880,,,,,,,14,1058,728,,,,,,,15,1079,814,,,,,,,14,813,866,,,,,,
18,607.2,15,66,880,,,,,,,14,1058,729,,,,,,,15,1080,814,,,,,,,14,813,866,,,,,,
19,643.5,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,815,,,,,,,14,814,866,,,,,,
20,675.3,15,66,880,,,,,,,14,1058,728,,,,,,,15,1079,815,,,,,,,14,813,866,,,,,,
21,707.7,15,65,881,,,,,,,14,1058,729,,,,,,,15,1079,815,,,,,,,14,813,866,,,,,,
22,751.9,15,66,880,,,,,,,14,1058,729,,,,,,,15,1079,815,,,,,,,14,813,866,,,,,,
23,792.2,15,66,880,,,,,,,14,1058,729,,,,,,,15,1080,815,,,,,,,14,814,866,,,,,,
24,808.3,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,815,,,,,,,14,814,866,,,,,,
25,847.7,15,65,881,,,,,,,14,1058,729,,,,,,,15,1080,814,,,,,,,14,814,866,,,,,,
26,875.5,15,66,880,,,,,,,14,1058,728,,,,,,,15,1079,814,,,,,,,14,814,866,,,,,,
27,909.3,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,814,,,,,,,14,814,866,,,,,,
28,945.2,15,66,880,,,,,,,14,1058,728,,,,,,,15,1080,814,,,,,,,14,814,866,,,,,,
29,975.5,15,66,880,,,,,,,14,1058,729,,,,,,,15,1079,815,,,,,,,14,813,866,,,,,,
30,1007.6,15,66,880,,,,,,,14,1058,729,,,,,,,15,1079,815,,,,,,,14,813,866,,,,,,
