frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,150.3,15,64,883,,,,,,,12,994,529,,,,,,,15,1037,577,,,,,,,,,,,,,,,,14,819,868,,,,,,
1,150.3,15,63,883,,,,,,,12,994,529,,,,,,,15,1037,577,,,,,,,,,,,,,,,,14,818,867,,,,,,
2,304.7,15,63,883,,,,,,,12,994,529,,,,,,,15,1037,577,,,,,,,,,,,,,,,,14,819,868,,,,,,
3,328.7,15,64,883,,,,,,,13,994,529,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,818,868,,,,,,
4,365.2,15,64,883,,,,,,,13,994,529,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,818,868,,,,,,
5,389.1,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,818,868,,,,,,
6,399.7,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,818,868,,,,,,
7,411.5,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,868,,,,,,
8,429.1,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,819,867,,,,,,
9,451.5,15,64,883,,,,,,,13,994,529,,,,,,,15,1038,576,,,,,,,,,,,,,,,,15,819,867,,,,,,
10,460.1,15,64,883,,,,,,,13,994,529,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,818,868,,,,,,
11,460.1,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,576,,,,,,,,,,,,,,,,15,819,868,,,,,,
12,505.8,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,818,868,,,,,,
13,518.8,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,818,868,,,,,,
14,543.5,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,868,,,,,,
15,543.5,15,64,883,,,,,,,13,994,529,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,868,,,,,,
16,563.3,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,868,,,,,,
17,578.0,15,63,882,,,,,,,13,994,529,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,819,867,,,,,,
18,606.6,15,64,882,,,,,,,13,994,529,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,867,,,,,,
19,639.5,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,867,,,,,,
20,674.8,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,819,868,,,,,,
21,706.8,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,868,,,,,,
22,738.9,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,818,868,,,,,,
23,776.8,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,819,868,,,,,,
24,806.8,15,64,883,,,,,,,13,994,529,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,818,868,,,,,,
25,840.8,15,64,882,,,,,,,13,994,529,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,867,,,,,,
26,874.4,15,64,882,,,,,,,13,994,529,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,867,,,,,,
27,916.3,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,867,,,,,,
28,949.2,15,64,883,,,,,,,13,994,529,,,,,,,15,1038,576,,,,,,,,,,,,,,,,15,819,867,,,,,,
29,988.9,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,867,,,,,,
30,1031.5,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,819,868,,,,,,
31,1062.7,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,818,868,,,,,,
32,1093.4,15,64,883,,,,,,,13,994,529,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,818,868,,,,,,
33,1110.8,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,819,868,,,,,,
34,1139.9,15,64,883,,,,,,,13,994,529,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,867,,,,,,
35,1174.9,15,64,882,,,,,,,13,994,530,,,,,,,15,1038,578,,,,,,,,,,,,,,,,15,819,867,,,,,,
36,1206.9,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,867,,,,,,
37,1240.1,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,867,,,,,,
38,1274.6,15,64,882,,,,,,,13,994,529,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,867,,,,,,
39,1313.2,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,868,,,,,,
40,1340.7,15,64,883,,,,,,,13,994,530,,,,,,,15,1038,577,,,,,,,,,,,,,,,,15,819,868,,,,,,
41,1374.8,15,64,882,,,,,,,13,994,529,,,,,,,15,1038,576,,,,,,,,,,,,,,,,15,819,868,,,,,,
42,1407.3,15,64,883,,,,,,,13,994,528,,,,,,,15,1037,576,,,,,,,,,,,,,,,,15,819,868,,,,,,
43,1439.0,15,64,882,,,,,,,13,993,527,,,,,,,15,1037,575,,,,,,,,,,,,,,,,15,819,867,,,,,,
44,1475.0,15,64,882,,,,,,,13,993,527,,,,,,,15,1037,574,,,,,,,,,,,,,,,,15,819,867,,,,,,
45,1506.4,15,64,883,,,,,,,13,993,526,,,,,,,15,1037,573,,,,,,,,,,,,,,,,15,819,867,,,,,,
46,1539.0,15,64,883,,,,,,,13,992,525,,,,,,,15,1036,572,,,,,,,,,,,,,,,,15,819,867,,,,,,
47,1577.3,15,64,883,,,,,,,13,991,523,,,,,,,15,1035,571,,,,,,,,,,,,,,,,15,819,867,,,,,,
48,1608.1,15,64,882,,,,,,,13,991,522,,,,,,,15,1035,568,,,,,,,,,,,,,,,,15,819,867,,,,,,
49,1638.8,15,64,883,,,,,,,13,990,519,,,,,,,15,1034,567,,,,,,,,,,,,,,,,15,819,868,,,,,,
50,1674.4,15,64,883,,,,,,,13,989,518,,,,,,,15,1033,564,,,,,,,,,,,,,,,,15,819,867,,,,,,
51,1706.6,15,64,883,,,,,,,13,989,517,,,,,,,15,1033,564,,,,,,,,,,,,,,,,15,819,867,,,,,,
52,1739.0,15,64,883,,,,,,,13,989,516,,,,,,,15,1032,563,,,,,,,,,,,,,,,,15,819,867,,,,,,
53,1774.3,15,64,883,,,,,,,13,989,515,,,,,,,15,1032,562,,,,,,,,,,,,,,,,15,819,867,,,,,,
54,1806.8,15,64,883,,,,,,,13,988,515,,,,,,,15,1032,560,,,,,,,,,,,,,,,,15,819,867,,,,,,
55,1838.5,15,64,883,,,,,,,13,988,514,,,,,,,15,1032,561,,,,,,,,,,,,,,,,15,819,867,,,,,,
56,1875.2,15,64,883,,,,,,,13,988,513,,,,,,,15,1032,559,,,,,,,,,,,,,,,,15,819,867,,,,,,
57,1906.7,15,64,882,,,,,,,13,987,512,,,,,,,15,1031,558,,,,,,,,,,,,,,,,15,819,867,,,,,,
58,1938.6,15,64,883,,,,,,,13,987,512,,,,,,,15,1031,557,,,,,,,,,,,,,,,,15,819,868,,,,,,
59,1975.5,15,64,883,,,,,,,13,986,511,,,,,,,15,1030,556,,,,,,,,,,,,,,,,15,819,868,,,,,,
60,2017.2,15,64,883,,,,,,,13,986,510,,,,,,,15,1030,556,,,,,,,,,,,,,,,,15,819,867,,,,,,
61,2039.5,15,64,883,,,,,,,13,986,508,,,,,,,15,1030,554,,,,,,,,,,,,,,,,15,819,867,,,,,,
62,2075.4,15,64,883,,,,,,,13,985,507,,,,,,,15,1029,553,,,,,,,,,,,,,,,,15,819,867,,,,,,
63,2106.8,15,64,883,,,,,,,13,984,506,,,,,,,15,1028,551,,,,,,,,,,,,,,,,15,819,867,,,,,,
64,2138.9,15,64,883,,,,,,,13,984,505,,,,,,,15,1028,550,,,,,,,,,,,,,,,,15,819,867,,,,,,
65,2174.7,15,64,883,,,,,,,13,984,503,,,,,,,15,1027,548,,,,,,,,,,,,,,,,15,819,867,,,,,,
66,2210.4,15,64,883,,,,,,,13,983,502,,,,,,,15,1026,547,,,,,,,,,,,,,,,,15,819,867,,,,,,
67,2243.4,15,64,883,,,,,,,13,982,501,,,,,,,15,1026,545,,,,,,,,,,,,,,,,15,819,868,,,,,,
68,2274.6,15,64,883,,,,,,,13,982,499,,,,,,,14,1026,543,,,,,,,,,,,,,,,,15,819,868,,,,,,
69,2306.7,15,64,883,,,,,,,13,981,498,,,,,,,15,1025,541,,,,,,,,,,,,,,,,15,819,868,,,,,,
70,2338.8,15,64,883,,,,,,,13,980,496,,,,,,,15,1024,541,,,,,,,,,,,,,,,,15,819,867,,,,,,
71,2374.5,15,64,883,,,,,,,13,980,495,,,,,,,15,1024,539,,,,,,,,,,,,,,,,15,819,867,,,,,,
72,2407.1,15,64,883,,,,,,,13,979,494,,,,,,,15,1023,538,,,,,,,,,,,,,,,,15,819,867,,,,,,
73,2445.2,15,64,883,,,,,,,13,979,493,,,,,,,15,1023,537,,,,,,,,,,,,,,,,15,819,867,,,,,,
74,2481.2,15,64,883,,,,,,,13,978,492,,,,,,,15,1022,535,,,,,,,,,,,,,,,,15,819,867,,,,,,
75,2507.2,15,64,883,,,,,,,13,978,491,,,,,,,15,1022,535,,,,,,,,,,,,,,,,15,819,867,,,,,,
76,2538.7,15,64,883,,,,,,,13,978,490,,,,,,,15,1021,534,,,,,,,,,,,,,,,,15,819,867,,,,,,
77,2574.4,15,64,883,,,,,,,13,977,489,,,,,,,15,1021,532,,,,,,,,,,,,,,,,15,819,867,,,,,,
78,2606.8,15,64,883,,,,,,,13,977,489,,,,,,,15,1020,532,,,,,,,,,,,,,,,,15,819,867,,,,,,
79,2638.8,15,64,883,,,,,,,13,976,487,,,,,,,15,1020,531,,,,,,,,,,,,,,,,15,819,867,,,,,,
80,2674.5,15,64,883,,,,,,,13,976,486,,,,,,,14,1020,529,,,,,,,,,,,,,,,,15,819,867,,,,,,
81,2706.4,15,64,883,,,,,,,13,975,485,,,,,,,14,1020,527,,,,,,,,,,,,,,,,15,819,867,,,,,,
82,2738.4,15,64,883,,,,,,,13,975,484,,,,,,,15,1019,526,,,,,,,,,,,,,,,,15,819,867,,,,,,
83,2777.2,15,64,883,,,,,,,13,974,483,,,,,,,15,1018,525,,,,,,,,,,,,,,,,15,819,867,,,,,,
84,2809.2,15,64,883,,,,,,,13,974,482,,,,,,,15,1018,524,,,,,,,,,,,,,,,,15,819,867,,,,,,
85,2844.1,15,64,883,,,,,,,13,973,480,,,,,,,15,1017,522,,,,,,,,,,,,,,,,15,819,868,,,,,,
86,2874.7,15,64,883,,,,,,,13,973,480,,,,,,,15,1017,521,,,,,,,,,,,,,,,,15,819,867,,,,,,
87,2906.7,15,64,883,,,,,,,13,972,479,,,,,,,15,1016,520,,,,,,,,,,,,,,,,15,819,867,,,,,,
88,2938.7,15,64,883,,,,,,,13,972,477,,,,,,,15,1015,519,,,,,,,,,,,,,,,,15,819,867,,,,,,
89,2974.3,15,64,883,,,,,,,13,971,476,,,,,,,15,1015,518,,,,,,,,,,,,,,,,15,819,867,,,,,,
90,3013.6,15,64,883,,,,,,,13,971,475,,,,,,,15,1015,516,,,,,,,,,,,,,,,,15,818,867,,,,,,
