frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,153.5,14,55,882,,,,,,,,,,,,,,,,16,1087,814,,,,,,,13,815,873,,,,,,
1,153.5,15,55,882,,,,,,,10,1041,748,,,,,,,16,1087,813,,,,,,,13,813,872,,,,,,
2,317.4,15,55,882,,,,,,,11,1042,745,,,,,,,16,1087,813,,,,,,,13,814,871,,,,,,
3,343.5,15,56,883,,,,,,,13,1042,744,,,,,,,16,1087,814,,,,,,,15,813,872,,,,,,
4,364.9,15,55,883,,,,,,,13,1042,744,,,,,,,16,1087,814,,,,,,,15,813,872,,,,,,
5,381.2,15,55,883,,,,,,,13,1042,744,,,,,,,16,1087,814,,,,,,,15,813,872,,,,,,
6,391.2,15,56,883,,,,,,,13,1042,744,,,,,,,16,1087,814,,,,,,,15,813,872,,,,,,
7,401.8,15,55,883,,,,,,,13,1042,744,,,,,,,16,1087,814,,,,,,,15,813,872,,,,,,
8,413.8,15,55,882,,,,,,,13,1042,743,,,,,,,16,1087,814,,,,,,,15,813,872,,,,,,
9,424.1,15,56,882,,,,,,,13,1042,743,,,,,,,16,1088,814,,,,,,,15,814,871,,,,,,
10,435.8,15,56,882,,,,,,,13,1042,744,,,,,,,16,1087,814,,,,,,,15,813,872,,,,,,
11,447.3,15,55,883,,,,,,,13,1042,744,,,,,,,16,1087,814,,,,,,,15,813,872,,,,,,
12,457.6,15,55,882,,,,,,,13,1042,744,,,,,,,16,1087,814,,,,,,,15,813,872,,,,,,
13,480.3,15,55,882,,,,,,,13,1042,744,,,,,,,16,1088,814,,,,,,,15,813,872,,,,,,
14,480.3,15,55,882,,,,,,,13,1042,743,,,,,,,16,1087,813,,,,,,,15,813,872,,,,,,
15,508.8,15,55,883,,,,,,,13,1042,743,,,,,,,16,1088,813,,,,,,,15,814,872,,,,,,
16,539.9,15,55,883,,,,,,,13,1042,743,,,,,,,16,1088,813,,,,,,,15,814,872,,,,,,
17,575.4,15,56,882,,,,,,,13,1042,743,,,,,,,16,1088,813,,,,,,,15,814,871,,,,,,
18,607.6,15,56,882,,,,,,,13,1042,742,,,,,,,16,1087,812,,,,,,,15,813,872,,,,,,
19,639.4,15,55,882,,,,,,,13,1042,742,,,,,,,16,1087,812,,,,,,,15,813,871,,,,,,
20,675.5,15,55,883,,,,,,,13,1042,741,,,,,,,16,1087,811,,,,,,,15,814,871,,,,,,
21,709.0,15,55,882,,,,,,,13,1042,741,,,,,,,16,1087,811,,,,,,,15,813,872,,,,,,
22,739.8,15,55,882,,,,,,,13,1042,742,,,,,,,16,1087,812,,,,,,,15,813,872,,,,,,
23,775.4,15,55,883,,,,,,,13,1042,742,,,,,,,16,1087,813,,,,,,,15,813,872,,,,,,
24,807.6,15,55,883,,,,,,,13,1041,742,,,,,,,16,1087,812,,,,,,,15,814,872,,,,,,
25,839.2,15,56,882,,,,,,,13,1042,742,,,,,,,16,1087,813,,,,,,,15,814,872,,,,,,
26,884.7,15,55,882,,,,,,,13,1042,742,,,,,,,15,1087,812,,,,,,,15,813,871,,,,,,
27,908.5,15,56,882,,,,,,,13,1042,741,,,,,,,16,1088,810,,,,,,,15,813,871,,,,,,
28,940.4,15,55,882,,,,,,,13,1042,740,,,,,,,16,1086,810,,,,,,,15,813,871,,,,,,
29,976.1,15,56,882,,,,,,,13,1042,739,,,,,,,16,1087,809,,,,,,,15,813,871,,,,,,
30,1007.7,15,56,882,,,,,,,13,1042,739,,,,,,,16,1087,808,,,,,,,15,814,871,,,,,,
31,1039.8,15,55,883,,,,,,,13,1041,738,,,,,,,16,1086,808,,,,,,,15,813,871,,,,,,
32,1075.5,15,55,883,,,,,,,13,1042,738,,,,,,,16,1086,808,,,,,,,15,813,872,,,,,,
33,1107.6,15,55,883,,,,,,,13,1041,738,,,,,,,16,1087,807,,,,,,,15,814,871,,,,,,
34,1139.9,15,56,882,,,,,,,13,1041,737,,,,,,,16,1086,806,,,,,,,15,814,871,,,,,,
35,1175.3,15,56,882,,,,,,,13,1041,737,,,,,,,16,1086,806,,,,,,,15,813,871,,,,,,
36,1211.1,15,55,882,,,,,,,13,1041,737,,,,,,,16,1086,806,,,,,,,15,813,871,,,,,,
37,1242.7,15,56,882,,,,,,,13,1041,735,,,,,,,16,1086,804,,,,,,,15,813,871,,,,,,
38,1278.0,15,56,883,,,,,,,13,1041,734,,,,,,,16,1086,802,,,,,,,15,814,871,,,,,,
