frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,151.6,15,64,880,,,,,,,12,858,290,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
1,151.6,15,65,880,,,,,,,12,858,289,,,,,,,14,912,338,,,,,,,52,1000,137,,,,,,,14,811,866,,,,,,
2,310.0,15,65,880,,,,,,,12,859,289,,,,,,,14,912,339,,,,,,,52,1005,139,,,,,,,14,812,866,,,,,,
3,332.5,15,64,881,,,,,,,12,859,289,,,,,,,14,912,338,,,,,,,15,1020,129,,,,,,,14,812,866,,,,,,
4,365.8,15,64,881,,,,,,,12,859,289,,,,,,,14,911,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
5,376.3,14,65,881,,,,,,,12,859,289,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
6,376.3,15,65,880,,,,,,,12,860,289,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
7,387.1,15,65,880,,,,,,,12,860,288,,,,,,,14,912,338,,,,,,,10,1016,129,,,,,,,14,811,866,,,,,,
8,397.4,15,65,880,,,,,,,12,860,288,,,,,,,14,912,338,,,,,,,6,1017,129,,,,,,,14,812,865,,,,,,
9,410.8,15,65,880,,,,,,,12,860,288,,,,,,,14,912,338,,,,,,,10,1010,131,,,,,,,14,811,866,,,,,,
10,432.8,15,65,880,,,,,,,12,860,288,,,,,,,14,912,338,,,,,,,8,1029,127,,,,,,,14,812,866,,,,,,
11,432.8,15,65,880,,,,,,,13,860,289,,,,,,,14,912,338,,,,,,,5,1026,127,,,,,,,14,812,866,,,,,,
12,465.2,15,64,881,,,,,,,12,860,289,,,,,,,14,912,339,,,,,,,8,1013,129,,,,,,,14,812,866,,,,,,
13,477.8,14,64,881,,,,,,,12,860,289,,,,,,,14,912,339,,,,,,,,,,,,,,,,14,812,866,,,,,,
14,477.8,15,64,880,,,,,,,13,861,289,,,,,,,14,913,339,,,,,,,8,1013,130,,,,,,,14,812,866,,,,,,
15,505.4,15,65,880,,,,,,,13,861,289,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,812,866,,,,,,
16,537.4,15,64,880,,,,,,,12,860,288,,,,,,,14,912,338,,,,,,,,,,,,,,,,14,811,866,,,,,,
17,573.6,15,65,880,,,,,,,13,860,288,,,,,,,14,912,338,,,,,,,7,1082,117,,,,,,,14,811,866,,,,,,
18,604.5,15,64,880,,,,,,,13,860,289,,,,,,,14,912,338,,,,,,,9,1036,125,,,,,,,14,812,866,,,,,,
19,637.0,15,64,880,,,,,,,13,860,288,,,,,,,14,913,339,,,,,,,6,1036,125,,,,,,,14,812,866,,,,,,
20,675.0,15,64,880,,,,,,,12,860,289,,,,,,,14,912,338,,,,,,,10,1018,129,,,,,,,14,812,866,,,,,,
