frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,159.3,15,64,881,,,,,,,9,869,311,,,,,,,14,911,338,,,,,,,23,933,233,,,,,,,14,812,866,,,,,,
1,159.3,15,64,881,,,,,,,11,871,311,,,,,,,14,911,338,,,,,,,5,917,245,,,,,,,14,812,866,,,,,,
2,302.7,15,64,881,,,,,,,11,873,311,,,,,,,14,911,338,,,,,,,5,941,227,,,,,,,14,812,866,,,,,,
3,317.5,15,64,881,,,,,,,,,,,,,,,,14,911,339,,,,,,,41,995,184,,,,,,,11,811,863,,,,,,
4,337.0,15,64,881,,,,,,,8,869,311,,,,,,,13,911,339,,,,,,,14,998,183,,,,,,,13,810,865,,,,,,
5,349.0,15,64,881,,,,,,,,,,,,,,,,13,911,339,,,,,,,,,,,,,,,,13,811,866,,,,,,
6,359.4,15,64,881,,,,,,,7,869,311,,,,,,,13,911,339,,,,,,,45,1005,184,,,,,,,13,811,867,,,,,,
7,369.4,15,64,881,,,,,,,,,,,,,,,,14,911,339,,,,,,,51,1010,182,,,,,,,13,811,866,,,,,,
8,381.0,15,64,881,,,,,,,8,871,311,,,,,,,13,911,338,,,,,,,23,983,191,,,,,,,13,811,865,,,,,,
9,391.2,15,63,881,,,,,,,8,870,311,,,,,,,13,911,339,,,,,,,,,,,,,,,,14,811,866,,,,,,
10,401.4,15,64,881,,,,,,,9,872,311,,,,,,,13,911,339,,,,,,,51,1011,181,,,,,,,14,811,866,,,,,,
11,422.7,15,64,881,,,,,,,10,873,312,,,,,,,14,912,339,,,,,,,47,1006,183,,,,,,,14,811,866,,,,,,
12,458.7,15,64,881,,,,,,,9,873,311,,,,,,,13,911,339,,,,,,,51,1011,184,,,,,,,13,811,866,,,,,,
13,458.7,15,64,881,,,,,,,7,869,309,,,,,,,14,911,339,,,,,,,25,1031,172,,,,,,,14,811,867,,,,,,
