frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,149.4,,,,,,,,,,11,944,687,,,,,,,15,1001,779,,,,,,,14,739,868,,,,,,
1,149.4,,,,,,,,,,11,945,687,,,,,,,15,1001,779,,,,,,,14,739,868,,,,,,
2,329.1,,,,,,,,,,11,945,687,,,,,,,15,1001,779,,,,,,,14,740,868,,,,,,
3,354.5,8,1,884,,,,,,,13,946,687,,,,,,,15,1003,779,,,,,,,15,741,868,,,,,,
4,372.5,9,1,884,,,,,,,13,947,687,,,,,,,15,1003,779,,,,,,,15,742,868,,,,,,
5,387.0,11,1,883,,,,,,,13,948,687,,,,,,,15,1006,779,,,,,,,14,743,868,,,,,,
6,408.8,13,1,883,,,,,,,12,951,687,,,,,,,15,1008,779,,,,,,,15,747,868,,,,,,
7,420.5,13,2,882,,,,,,,13,953,687,,,,,,,15,1011,779,,,,,,,14,749,867,,,,,,
8,431.4,14,1,883,,,,,,,13,955,687,,,,,,,15,1012,779,,,,,,,14,750,868,,,,,,
9,444.9,14,2,883,,,,,,,13,956,687,,,,,,,15,1014,779,,,,,,,14,752,867,,,,,,
10,456.2,14,4,883,,,,,,,13,958,686,,,,,,,15,1017,778,,,,,,,14,754,867,,,,,,
11,469.5,15,6,882,,,,,,,13,960,686,,,,,,,15,1019,778,,,,,,,15,757,867,,,,,,
12,516.5,15,8,883,,,,,,,13,962,686,,,,,,,15,1020,779,,,,,,,14,758,867,,,,,,
13,516.5,15,9,883,,,,,,,13,963,686,,,,,,,15,1022,777,,,,,,,14,760,867,,,,,,
14,561.5,15,10,883,,,,,,,13,965,685,,,,,,,15,1025,777,,,,,,,14,762,867,,,,,,
15,580.6,15,13,883,,,,,,,13,966,685,,,,,,,15,1026,777,,,,,,,14,764,867,,,,,,
16,580.6,15,12,883,,,,,,,12,967,685,,,,,,,15,1027,777,,,,,,,15,766,867,,,,,,
17,597.4,15,13,883,,,,,,,12,967,685,,,,,,,15,1027,778,,,,,,,15,765,867,,,,,,
18,612.8,15,13,883,,,,,,,13,968,685,,,,,,,15,1027,777,,,,,,,14,765,867,,,,,,
19,643.0,15,13,883,,,,,,,13,968,685,,,,,,,15,1027,777,,,,,,,14,765,867,,,,,,
20,675.1,15,13,883,,,,,,,13,967,685,,,,,,,15,1027,777,,,,,,,15,765,866,,,,,,
21,707.7,15,13,883,,,,,,,13,967,685,,,,,,,15,1027,777,,,,,,,14,765,866,,,,,,
22,743.6,15,13,883,,,,,,,13,967,684,,,,,,,15,1027,776,,,,,,,14,765,866,,,,,,
23,776.0,15,13,884,,,,,,,13,967,684,,,,,,,15,1027,776,,,,,,,14,766,866,,,,,,
24,808.0,15,13,884,,,,,,,13,967,684,,,,,,,15,1027,776,,,,,,,14,765,866,,,,,,
25,844.4,15,13,884,,,,,,,13,967,684,,,,,,,15,1027,776,,,,,,,14,765,866,,,,,,
26,875.1,15,13,883,,,,,,,13,967,684,,,,,,,15,1027,777,,,,,,,15,766,866,,,,,,
27,907.2,15,13,883,,,,,,,13,967,684,,,,,,,15,1027,776,,,,,,,15,765,866,,,,,,
28,943.9,15,13,883,,,,,,,13,967,684,,,,,,,15,1027,776,,,,,,,14,765,866,,,,,,
29,975.6,15,13,883,,,,,,,13,967,684,,,,,,,15,1027,776,,,,,,,14,765,866,,,,,,
30,1009.1,15,13,883,,,,,,,13,967,685,,,,,,,15,1027,777,,,,,,,15,765,866,,,,,,
31,1045.1,15,13,883,,,,,,,13,968,685,,,,,,,15,1027,777,,,,,,,14,766,867,,,,,,
32,1077.1,15,13,883,,,,,,,13,967,685,,,,,,,15,1027,777,,,,,,,14,765,867,,,,,,
33,1107.0,15,13,883,,,,,,,13,967,685,,,,,,,15,1026,777,,,,,,,14,765,867,,,,,,
34,1143.1,15,13,883,,,,,,,13,967,685,,,,,,,15,1027,777,,,,,,,14,766,867,,,,,,
35,1175.0,15,13,883,,,,,,,13,967,685,,,,,,,15,1027,777,,,,,,,14,765,867,,,,,,
36,1207.0,15,13,883,,,,,,,13,967,685,,,,,,,15,1027,777,,,,,,,14,766,867,,,,,,
37,1242.9,15,13,883,,,,,,,13,967,685,,,,,,,15,1027,777,,,,,,,15,765,867,,,,,,
38,1274.9,15,13,883,,,,,,,13,967,685,,,,,,,15,1027,776,,,,,,,15,765,867,,,,,,
39,1307.5,15,13,883,,,,,,,13,968,685,,,,,,,15,1027,777,,,,,,,15,766,867,,,,,,
40,1343.2,15,13,883,,,,,,,13,967,685,,,,,,,15,1027,778,,,,,,,15,765,867,,,,,,
41,1374.8,15,13,883,,,,,,,13,967,686,,,,,,,15,1027,777,,,,,,,14,765,867,,,,,,
42,1407.2,15,13,883,,,,,,,12,967,685,,,,,,,15,1027,777,,,,,,,15,766,867,,,,,,
43,1442.7,15,13,882,,,,,,,13,968,685,,,,,,,15,1027,777,,,,,,,15,766,867,,,,,,
44,1475.3,15,13,883,,,,,,,13,967,685,,,,,,,15,1027,777,,,,,,,14,765,867,,,,,,
45,1507.0,15,13,882,,,,,,,13,967,685,,,,,,,15,1027,777,,,,,,,15,765,867,,,,,,
46,1542.6,15,13,882,,,,,,,13,967,684,,,,,,,15,1027,776,,,,,,,15,765,867,,,,,,
47,1574.8,15,13,882,,,,,,,13,967,684,,,,,,,15,1027,774,,,,,,,14,765,867,,,,,,
48,1607.0,15,13,883,,,,,,,13,966,681,,,,,,,15,1027,771,,,,,,,14,766,867,,,,,,
49,1642.7,15,13,882,,,,,,,13,966,679,,,,,,,15,1026,767,,,,,,,14,765,867,,,,,,
50,1675.0,15,13,883,,,,,,,13,965,675,,,,,,,15,1026,764,,,,,,,14,765,867,,,,,,
51,1706.7,15,13,883,,,,,,,13,965,673,,,,,,,15,1025,762,,,,,,,15,766,867,,,,,,
52,1744.5,15,13,883,,,,,,,13,964,670,,,,,,,15,1025,759,,,,,,,15,766,867,,,,,,
53,1775.2,15,13,883,,,,,,,13,964,669,,,,,,,15,1025,757,,,,,,,15,766,867,,,,,,
54,1807.3,15,13,882,,,,,,,13,963,667,,,,,,,15,1024,755,,,,,,,15,765,867,,,,,,
55,1842.8,15,13,882,,,,,,,13,963,667,,,,,,,15,1024,755,,,,,,,14,765,867,,,,,,
56,1874.7,15,13,883,,,,,,,13,963,666,,,,,,,15,1025,754,,,,,,,15,766,867,,,,,,
57,1907.0,15,13,883,,,,,,,13,963,666,,,,,,,15,1025,753,,,,,,,15,766,867,,,,,,
58,1944.8,15,13,883,,,,,,,13,963,666,,,,,,,15,1024,753,,,,,,,15,766,867,,,,,,
59,1975.1,15,13,883,,,,,,,13,963,665,,,,,,,15,1024,753,,,,,,,15,766,867,,,,,,
60,2007.2,15,13,883,,,,,,,13,963,664,,,,,,,15,1024,753,,,,,,,14,766,867,,,,,,
61,2044.0,15,13,883,,,,,,,13,963,664,,,,,,,15,1024,752,,,,,,,14,765,867,,,,,,
62,2078.1,15,13,882,,,,,,,13,963,665,,,,,,,15,1024,752,,,,,,,14,765,867,,,,,,
63,2118.6,15,13,882,,,,,,,13,963,665,,,,,,,15,1024,752,,,,,,,14,765,867,,,,,,
64,2142.7,15,13,883,,,,,,,13,963,665,,,,,,,15,1024,752,,,,,,,15,766,867,,,,,,
