frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,152.2,,,,,,,,,,22,664,36,51.8442181999586,2.810831107226671,,,,
1,152.2,,,,,,,,,,22,664,35,51.8442181999586,2.732752465359263,,,,
2,289.8,,,,,,,,,,23,664,35,51.8442181999586,2.732752465359263,,,,
3,319.1,,,,,,,,,,27,663,35,51.76613955809119,2.732752465359263,0.8995848764837407,0.899584876483751,16.385881174567217,16.385881174567405
4,337.9,,,,,,,,,,33,668,41,52.156532767428224,3.2012243165637084,-4.6789622923282606,-7.018443438492453,-68.50603649089696,-102.75905473634634
5,361.0,,,,,,,,,,23,663,35,51.76613955809119,2.732752465359263,-0.3723184700583548,0.0,20.345271587888227,0.0
6,376.2,,,,,,,,,,23,664,36,51.8442181999586,2.810831107226671,0.4930608896457764,-1.0574007584484306,-30.624899977998545,-84.93178782718326
7,387.0,,,,,,,,,,24,664,35,51.8442181999586,2.732752465359263,-2.519277893227416,-3.7789168398411563,156.47688777810043,234.71533166715264
8,397.6,,,,,,,,,,24,663,35,51.76613955809119,2.732752465359263,0.0,0.0,0.0,0.0
9,408.4,,,,,,,,,,24,664,35,51.8442181999586,2.732752465359263,-1.201186918611444,-1.2161548355402643,-74.60788314356799,75.07128614446067
10,419.2,,,,,,,,,,23,664,35,51.8442181999586,2.732752465359263,-1.1738463005852569,1.1738463005852702,-72.90970811088555,72.90970811088637
11,429.9,,,,,,,,,,24,663,35,51.76613955809119,2.732752465359263,0.0,0.0,0.0,0.0
12,440.8,,,,,,,,,,24,663,35,51.76613955809119,2.732752465359263,-1.6090280422817913,0.0,49.43250513922557,0.0
13,452.1,,,,,,,,,,23,663,36,51.76613955809119,2.810831107226671,-1.5027690606881776,1.5027690606881947,52.91440354535847,-52.91440354535907
14,473.8,,,,,,,,,,24,663,35,51.76613955809119,2.732752465359263,0.47801272384423166,0.0,21.777345049851082,0.0
15,505.9,,,,,,,,,,24,663,35,51.76613955809119,2.732752465359263,0.3083640965552333,0.0,9.473551353463392,0.0
16,541.8,,,,,,,,,,24,664,35,51.8442181999586,2.732752465359263,0.45841744297863096,-0.45841744297863624,-9.186722304180975,9.18672230418108
17,573.6,,,,,,,,,,25,665,35,51.922296841826004,2.732752465359263,0.3950810697461943,-0.38883475341153995,-23.439302045803736,-7.792279627485768
18,605.8,,,,,,,,,,25,664,35,51.8442181999586,2.732752465359263,0.39253638791929046,0.0,-7.788420395224012,0.0
19,641.6,,,,,,,,,,24,664,35,51.8442181999586,2.732752465359263,0.0,0.0,0.0,0.0
20,673.8,,,,,,,,,,24,664,34,51.8442181999586,2.654673823491856,-0.38941946615642586,0.0007784495132346327,7.780608714414101,15.56899026470682
21,706.6,,,,,,,,,,24,664,35,51.8442181999586,2.732752465359263,0.0,0.0,0.0,0.0
22,741.9,,,,,,,,,,24,664,35,51.8442181999586,2.732752465359263,-0.3921530106340066,0.0,-7.819601408454771,0.0
23,773.9,,,,,,,,,,23,664,35,51.8442181999586,2.732752465359263,0.0,0.3963275824465418,0.0,-7.6659106856197665
24,807.2,,,,,,,,,,24,664,35,51.8442181999586,2.732752465359263,-0.3987017414521468,0.0,-7.926475973203711,0.0
25,841.7,,,,,,,,,,25,663,35,51.76613955809119,2.732752465359263,-0.030148405430284273,-0.3687123330327354,15.074202715142592,-7.389024710074852
26,877.3,,,,,,,,,,24,664,35,51.8442181999586,2.732752465359263,0.0,-0.4140526757736005,0.0,-8.008755817671192
27,906.0,,,,,,,,,,24,663,35,51.76613955809119,2.732752465359263,-0.397914670270084,-0.3868729784902475,7.942408588225226,-7.831436811543475
28,945.5,,,,,,,,,,23,664,34,51.8442181999586,2.654673823491856,-0.05606479866973572,-0.3625887341113317,-15.573555186037606,7.507013128599007
29,974.5,,,,,,,,,,23,664,34,51.8442181999586,2.654673823491856,0.0,-0.016195125171621357,0.0,16.195125171621374
30,1006.2,,,,,,,,,,24,663,34,51.76613955809119,2.654673823491856,0.3919579115788664,0.0031231581673295873,7.823511209159006,15.615790836644807
31,1042.1,,,,,,,,,,24,663,34,51.76613955809119,2.654673823491856,0.36162235821776445,0.3859677652706406,24.221322409381308,7.991051040800019
32,1073.7,,,,,,,,,,24,664,35,51.8442181999586,2.732752465359263,0.3882420275783811,0.39531869865737046,7.8274602334351,-7.898475497649767
33,1106.0,,,,,,,,,,23,664,35,51.8442181999586,2.732752465359263,0.7823511209159008,0.0,0.0,-15.678379176671454
34,1141.7,,,,,,,,,,23,665,35,51.922296841826004,2.732752465359263,1.1758831606537166,-1.81057367706609e-15,-7.87070388657104,-15.741407773142223
35,1173.8,,,,,,,,,,23,665,35,51.922296841826004,2.732752465359263,0.7803966103720892,-0.3905883083921774,0.007796166039591362,-7.803962205637917
36,1205.8,,,,,,,,,,23,665,34,51.922296841826004,2.654673823491856,0.7800204244649187,-0.39234791478499964,-0.04670734370705352,7.815695513645405
37,1241.3,,,,,,,,,,23,666,34,52.00037548369341,2.654673823491856,0.39372399682058573,-0.007020197974052877,-7.835303419315139,15.600439942337985
38,1273.8,,,,,,,,,,24,666,34,52.00037548369341,2.654673823491856,0.39559331622016214,-0.020527004191042076,-7.703862049078131,15.205188289660619
39,1306.2,,,,,,,,,,24,666,34,52.00037548369341,2.654673823491856,0.39172098586813126,0.38027335511527705,-7.688341233918191,7.5751664365592974
40,1341.8,,,,,,,,,,24,666,35,52.00037548369341,2.732752465359263,-0.3931326200216227,0.3868987029975254,-7.82353472679846,-7.761257833450857
41,1376.5,,,,,,,,,,24,666,35,52.00037548369341,2.732752465359263,0.0,0.37770849891513647,0.0,-7.4498717734740865
42,1408.1,,,,,,,,,,24,666,35,52.00037548369341,2.732752465359263,0.4030625858075096,-0.02644848212382744,7.910943784249463,-15.557930661075588
43,1441.5,,,,,,,,,,23,665,35,51.922296841826004,2.732752465359263,-0.007006185323431157,-0.3863211442369508,15.569300718738106,-7.749671900440334
44,1477.9,,,,,,,,,,23,666,35,52.00037548369341,2.732752465359263,0.8329869331515697,-0.4164934665757872,16.429722547368225,-8.214861273684159
45,1506.6,,,,,,,,,,24,667,34,52.07845412556082,2.654673823491856,0.39833999209388216,-0.39833999209388443,-8.006834011937329,8.006834011937375
