frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,155.9,12,539,774,42.08438796653266,60.432868805373424,,,,,58,569,894,44.42674722255488,69.80230582946233,,,,
1,155.9,12,539,774,42.08438796653266,60.432868805373424,,,,,54,514,931,40.13242191984747,72.69121557855641,,,,
2,311.6,11,539,774,42.08438796653266,60.432868805373424,,,,,46,518,942,40.4447364873171,73.55008063909789,,,,
3,335.8,11,539,774,42.08438796653266,60.432868805373424,-0.8823914107452193,0.0,-9.80979889655608,0.0,53,497,966,38.80508500810154,75.42396804391566,4.941983378152956,-22.589811593055817,402.3435306183044,-598.539508549409
4,365.3,12,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,49,500,965,39.03932093370376,75.34588940204826,16.49786053654541,-36.612330565212204,207.43092706301042,-470.77226349388127
5,380.1,11,538,774,42.006309324665246,60.432868805373424,0.6887054343422221,0.0,53.38801816606368,0.0,60,513,935,40.05434327798006,73.00353014602604,-2.188440639433343,-5.316604019664266,102.50307444652665,77.72949767162696
6,400.8,11,538,774,42.006309324665246,60.432868805373424,1.1865161761079626,0.0,73.46849387665397,0.0,56,512,931,39.97626463611265,72.69121557855641,7.619197921644031,-9.30581496274879,-319.96769851088663,1007.2778664050098
7,412.7,11,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,59,513,936,40.05434327798006,73.08160878789344,8.898284922534353,-21.204148581924176,-528.0881259664308,1120.9065243921107
8,422.8,11,539,774,42.08438796653266,60.432868805373424,0.8832776141076087,0.0,-44.27456712318844,0.0,58,513,933,40.05434327798006,72.84737286229122,0.0,-1.7665552282150567,0.0,88.54913424636881
9,433.5,11,539,774,42.08438796653266,60.432868805373424,1.316688439641268,0.0,-65.50688754434171,0.0,59,513,934,40.05434327798006,72.92545150415863,1.316688439641148,3.078848157452266,-65.50688754433574,-249.80611593399672
10,446.4,11,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,59,513,935,40.05434327798006,73.00353014602604,0.0,-1.2218015299647085,0.0,64.98944308322913
11,462.7,11,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,57,513,933,40.05434327798006,72.84737286229122,54.998618370565254,-37.32049103716933,2756.8229759681844,-1870.7013051212712
12,473.7,11,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,58,513,933,40.05434327798006,72.84737286229122,0.0,-1.0215160715544758,0.0,45.80789558540255
13,484.0,11,539,774,42.08438796653266,60.432868805373424,-0.5490670014858885,0.0,-29.205691568398304,0.0,59,513,935,40.05434327798006,73.00353014602604,-0.5490670014858384,0.0,-29.205691568395647,0.0
14,502.5,11,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,60,569,895,44.42674722255488,69.88038447132973,47.663037917014606,-32.34277572940281,-3125.445109312438,2120.8377527477287
15,518.3,11,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,58,513,933,40.05434327798006,72.84737286229122,0.0,0.0,0.0,0.0
16,540.7,11,538,774,42.006309324665246,60.432868805373424,-0.5939125312973828,0.0,27.62383866499462,0.0,60,512,935,39.97626463611265,73.00353014602604,-0.5939125312973287,0.0,27.623838664992107,0.0
17,572.8,11,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,57,513,933,40.05434327798006,72.84737286229122,-36.760616287447725,25.258984811260124,723.634178886766,-482.09634334053203
18,607.8,11,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,56,513,933,40.05434327798006,72.84737286229122,0.34879432264659516,1.3951772905863806,7.794286539588719,31.177146158354876
19,640.4,11,539,774,42.08438796653266,60.432868805373424,0.40133317643419236,0.0,-7.659030084621987,0.0,59,513,935,40.05434327798006,73.00353014602604,0.4013331764341559,0.363222558940091,-7.659030084621289,7.286310109129213
20,674.4,11,539,774,42.08438796653266,60.432868805373424,-0.4061630078121383,0.0,-7.99533479945154,0.0,57,513,934,40.05434327798006,72.92545150415863,-0.4061630078121013,-0.43520708449622875,-7.995334799450811,-23.694835709789754
21,711.5,11,539,774,42.08438796653266,60.432868805373424,-0.41910189094070854,0.0,-8.082968002713757,0.0,60,514,937,40.13242191984747,73.15968742976085,-0.4752789082879737,0.6134957124921274,-23.687695043630544,-46.252972158244035
22,745.2,11,539,774,42.08438796653266,60.432868805373424,-0.4290950887465497,0.0,-8.188837571499036,0.0,60,513,936,40.05434327798006,73.08160878789344,-0.42909508874651076,-0.07426799036994212,-8.18883757149829,-15.635366393671822
23,772.3,11,538,774,42.006309324665246,60.432868805373424,-0.41177060539838406,0.0,7.880777136811177,0.0,55,512,932,39.97626463611265,72.76929422042382,-0.050370609236540305,0.6220587738505319,15.263820980769735,45.293729649458015
24,808.0,11,538,774,42.006309324665246,60.432868805373424,-0.02987713432300518,0.0,16.149802336759425,0.0,60,512,935,39.97626463611265,73.00353014602604,-0.44203946643572084,-0.44203946643572084,24.376595392900033,24.376595392900033
25,840.5,11,538,774,42.006309324665246,60.432868805373424,-0.05306511397044142,0.0,16.08033756680037,0.0,60,512,935,39.97626463611265,73.00353014602604,-140.3936449100325,-173.3496121972344,-2929.1574335992477,-3620.7831898889
26,876.8,11,538,774,42.006309324665246,60.432868805373424,0.417447395827416,0.0,7.989423843586908,0.0,59,513,936,40.05434327798006,73.08160878789344,0.7771243764221263,0.1863657348968592,0.5734036251377633,-53.63235240455222
27,908.2,11,539,774,42.08438796653266,60.432868805373424,0.3898083025620388,0.0,-7.7728475087146345,0.0,59,513,936,40.05434327798006,73.08160878789344,0.0007768972709351425,0.3898083025620033,-15.537945418715283,-7.772847508713927
28,942.4,11,539,774,42.08438796653266,60.432868805373424,0.37816326464345495,0.0,-7.616581362405936,0.0,14,134,468,10.462538010232608,36.54080439394672,30.282435633522432,-6.559899971121346,6279.031438379524,6894.379111893083
29,973.8,11,539,774,42.08438796653266,60.432868805373424,0.41667666075747306,0.0,-8.005315288328001,0.0,57,514,933,40.13242191984747,72.84737286229122,0.05489946792424003,-0.16469840377272016,-15.464638851898307,46.39391655569493
30,1008.5,11,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,60,512,936,39.97626463611265,73.08160878789344,0.3988046451384935,-0.3933336035136503,23.47469014189691,-7.843142642345971
31,1041.7,11,539,774,42.08438796653266,60.432868805373424,-0.3913698604086644,0.0,-7.882575234817002,0.0,60,569,895,44.42674722255488,69.88038447132973,149.35940705435613,184.1723778728488,-3880.703715905533,-3052.8428008362857
32,1077.9,11,539,774,42.08438796653266,60.432868805373424,-0.42838941644483763,0.0,-8.230344216039137,0.0,60,513,936,40.05434327798006,73.08160878789344,-0.7866600160784402,0.6464223824561259,-0.7036509464240567,-30.81042402488138
33,1108.1,11,539,774,42.08438796653266,60.432868805373424,-0.39019634822764704,0.0,-7.835268036699747,0.0,59,514,935,40.13242191984747,73.00353014602604,0.7851009373387242,-0.3925504686693621,-15.71773648325773,7.858868241628865
34,1141.3,11,538,774,42.006309324665246,60.432868805373424,-0.030994027378211785,0.0,15.119037745468663,0.0,60,513,936,40.05434327798006,73.08160878789344,-22.39248627823688,15.656755284242836,431.8705164558702,-331.00504230841597
35,1173.1,11,538,774,42.006309324665246,60.432868805373424,-0.037017974975702396,0.0,16.452433322533587,0.0,59,512,935,39.97626463611265,73.00353014602604,-0.03701797497569906,-1.1845992574239348,16.45243332253209,-7.656417149069548
36,1208.0,11,538,774,42.006309324665246,60.432868805373424,-0.01908124967433593,0.0,15.264999739468735,0.0,59,514,935,40.13242191984747,73.00353014602604,-0.3765320070437015,0.3765320070437015,-7.538178319193217,7.538178319193217
37,1245.0,11,539,774,42.08438796653266,60.432868805373424,0.3613601666480403,0.0,-7.55193660706458,0.0,57,513,934,40.05434327798006,72.92545150415863,0.4243008629676956,-0.29841947032831934,8.183237472858158,23.287110686985944
38,1272.8,11,539,774,42.08438796653266,60.432868805373424,0.40594431954673266,0.0,-7.566529721281134,0.0,57,513,933,40.05434327798006,72.84737286229122,0.05546907995115689,-0.8118886390933915,-14.597126302936186,15.13305944256089
39,1310.4,11,539,774,42.08438796653266,60.432868805373424,0.372093527649394,0.0,-7.6248673698646385,0.0,59,513,936,40.05434327798006,73.08160878789344,-0.37209352764936016,-0.8566850984606517,7.624867369863945,-31.62444991107509
40,1340.7,11,539,774,42.08438796653266,60.432868805373424,-0.38413387429449125,0.0,-8.027876160804412,0.0,59,514,935,40.13242191984747,73.00353014602604,-0.35218720535297715,-1.1204549539418898,-24.410783310280774,-40.46653563188814
41,1380.1,11,539,774,42.08438796653266,60.432868805373424,-0.45546829505289865,0.0,-8.489623393343873,0.0,56,512,933,39.97626463611265,72.84737286229122,0.11917318728460526,0.9109365901057144,15.78452811716635,16.9792467866862
42,1408.0,11,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,56,513,933,40.05434327798006,72.84737286229122,0.36936208779600543,-1.6010613613574165,7.568895241721431,16.370837966469246
43,1440.3,11,538,774,42.006309324665246,60.432868805373424,-0.003135688428411006,0.0,15.678442142051013,0.0,56,512,931,39.97626463611265,72.69121557855641,0.38333948135929685,-3.908651335874825,39.18039549325818,-15.521343523391742
44,1472.3,11,538,774,42.006309324665246,60.432868805373424,-0.12854516009677877,0.0,15.581231526882267,0.0,59,513,935,40.05434327798006,73.00353014602604,-0.2011053033501464,-3.3690647777225746,-22.732000799048166,-109.82092504760348
45,1510.9,11,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,51,514,932,40.13242191984747,72.76929422042382,22.674908942149184,-16.478707468691283,425.96943040168304,-305.53791488257906
46,1540.3,11,539,774,42.08438796653266,60.432868805373424,0.4019477875852803,0.0,-7.576772621777186,0.0,47,515,925,40.21050056171487,72.22274372735197,20.12992201281027,-14.194603620828468,355.7512551357613,-190.19770217568112
47,1581.0,11,539,774,42.08438796653266,60.432868805373424,-0.13502371696497847,0.0,-15.700432205230005,0.0,46,511,922,39.898185994245246,71.98850780174973,25.752388066210003,-18.63056418527947,500.2571777918749,-170.97943203715985
48,1608.1,11,539,774,42.08438796653266,60.432868805373424,-0.3860128373250364,0.0,-7.942650973766196,0.0,59,568,893,44.34866858068747,69.72422718759492,21.974755945762265,-17.028695583914434,-440.3758706565577,294.22128699732883
49,1646.4,11,539,774,42.08438796653266,60.432868805373424,0.0,0.0,0.0,0.0,57,568,892,44.34866858068747,69.64614854572751,18.311686002899435,-12.283846260637475,-390.0252609776243,226.21574855062914
50,1672.5,11,538,774,42.006309324665246,60.432868805373424,-0.44538410233223474,0.0,8.916598645289978,0.0,57,568,891,44.34866858068747,69.5680699038601,25.38689383293527,-14.180540770936851,-508.2461227814865,268.24770338891113
51,1707.9,11,538,774,42.006309324665246,60.432868805373424,-0.40147969717248744,0.0,7.632693862594832,0.0,58,568,890,44.34866858068747,69.4899912619927,0.3613209894448314,-1.2044390915173526,7.240901592080775,22.89808158778241
52,1740.3,11,539,774,42.08438796653266,60.432868805373424,-0.38041491398929833,0.0,-8.102554078579317,0.0,56,568,890,44.34866858068747,69.4899912619927,0.3804149139892637,-0.8560024799590247,8.10255407857858,17.188804818454287
53,1772.4,11,538,774,42.006309324665246,60.432868805373424,0.0,0.0,0.0,0.0,55,568,890,44.34866858068747,69.4899912619927,0.0,-0.3921483264741608,0.0,7.796189393124475
54,1813.1,11,538,774,42.006309324665246,60.432868805373424,0.0,0.0,0.0,0.0,56,569,890,44.42674722255488,69.4899912619927,-0.07624198793757787,0.0,-15.559589375016328,0.0
55,1839.9,11,538,774,42.006309324665246,60.432868805373424,-0.00547104162484199,0.0,15.63154749955233,0.0,56,569,890,44.42674722255488,69.4899912619927,0.005471041624841447,0.3878625618888076,-15.631547499550908,7.788404857204961
56,1873.0,11,538,774,42.006309324665246,60.432868805373424,0.0,0.0,0.0,0.0,55,568,890,44.34866858068747,69.4899912619927,0.0,0.0,0.0,0.0
57,1908.5,11,538,774,42.006309324665246,60.432868805373424,0.0,0.0,0.0,0.0,55,568,890,44.34866858068747,69.4899912619927,-0.03608328020995653,0.0,16.401491004526207,0.0
58,1940.2,11,539,774,42.08438796653266,60.432868805373424,0.012974184424628672,0.0,-15.263746381915825,0.0,55,568,891,44.34866858068747,69.5680699038601,-0.01297418442462752,-0.7460701177960027,15.263746381914435,-30.399225987510256
59,1972.8,11,538,774,42.006309324665246,60.432868805373424,0.0,0.0,0.0,0.0,54,568,890,44.34866858068747,69.4899912619927,0.39235419402621463,-0.39235419402621463,7.862809499523343,-7.862809499523343
60,2008.3,11,538,774,42.006309324665246,60.432868805373424,0.0,0.0,0.0,0.0,54,569,890,44.42674722255488,69.4899912619927,0.3911755604579504,0.0,-7.839189588335683,0.0
61,2042.2,11,538,774,42.006309324665246,60.432868805373424,-0.37566838446089657,0.0,7.643303854748661,0.0,55,569,888,44.42674722255488,69.33383397825789,0.37566838446086237,-0.7225243125646935,-7.643303854747966,30.860908443026126
62,2072.4,11,538,774,42.006309324665246,60.432868805373424,0.0,0.0,0.0,0.0,55,569,889,44.42674722255488,69.41191262012529,0.0015709861865748616,-0.7831374018658535,-15.709861865781159,0.01575713326554554
63,2108.1,11,538,774,42.006309324665246,60.432868805373424,0.0,0.0,0.0,0.0,55,569,890,44.42674722255488,69.4899912619927,0.0,-0.7776695068230711,0.0,-15.584559254971373
64,2140.5,11,538,774,42.006309324665246,60.432868805373424,0.37566838446089657,0.0,7.643303854748661,0.0,54,569,889,44.42674722255488,69.41191262012529,-0.37566838446086237,0.028812456357031096,-7.643303854747966,-15.57430073353019
