frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,157.8,12,980,837,76.51706903005937,65.35182324302009,,,,,40,91,988,7.105156409934085,77.14169816499863,,,,
1,157.8,12,980,837,76.51706903005937,65.35182324302009,,,,,41,90,988,7.027077768066677,77.14169816499863,,,,
2,327.3,12,980,837,76.51706903005937,65.35182324302009,,,,,39,91,988,7.105156409934085,77.14169816499863,,,,
3,353.0,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,44,92,987,7.183235051801493,77.06361952313122,-1.859290365308145,1.8592903653081239,-23.148395570303986,23.148395570303723
4,380.5,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,54,30,993,2.3423592560222257,77.53209137433568,82.60820897670686,-6.884017414725767,930.7967208643026,-77.56639340536074
5,395.3,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,39,91,990,7.105156409934085,77.29785544873346,-1.0638781313086572,-1.2206252968143705,-31.290533273784032,-103.44282176392954
6,413.9,11,980,837,76.51706903005937,65.35182324302009,0.0,-1.2933748836436183,0.0,-42.475365636900456,41,90,989,7.027077768066677,77.21977680686604,0.3177945480398285,0.9755803356037935,94.64543705956424,-52.1700714226627
7,425.7,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,42,90,988,7.027077768066677,77.14169816499863,55.906973523698895,-3.8912011180512933,-2112.2673161301427,209.9918932582136
8,439.7,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,41,90,988,7.027077768066677,77.14169816499863,-0.8051867994444427,-1.6103735988890138,42.94329597037028,85.8865919407474
9,451.3,11,980,836,76.51706903005937,65.27374460115269,0.0,0.05735341266631305,0.0,114.70682533261864,41,91,989,7.105156409934085,77.21977680686604,1.0296880439885359,0.0,-56.576266153216295,0.0
10,477.2,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,41,91,989,7.105156409934085,77.21977680686604,0.45811395628257795,2.9014221678908356,-41.086453478258086,53.799302312354556
11,477.2,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,42,90,988,7.027077768066677,77.14169816499863,0.0,-1.1441591651665308,0.0,-61.02182214221497
12,487.7,11,980,837,76.51706903005937,65.35182324302009,0.0,1.0695542471165695,0.0,-59.09139486831878,41,91,989,7.105156409934085,77.21977680686604,0.0,1.0814051732699146,0.0,59.41786666318216
13,499.5,11,980,837,76.51706903005937,65.35182324302009,0.0,-0.670887262992014,0.0,-60.169261254889115,40,91,990,7.105156409934085,77.29785544873346,-0.6708872629920216,0.9260400069639881,-60.1692612548898,-230.96362167799106
14,512.4,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,42,90,987,7.027077768066677,77.06361952313122,0.0,-0.3966571530803343,0.0,103.49352737438527
15,523.9,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,40,91,990,7.105156409934085,77.29785544873346,-0.28107068770884613,0.9440718355605988,-15.528767276731834,-67.00534388469131
16,540.5,11,980,836,76.51706903005937,65.27374460115269,0.0,-1.113286785714132,0.0,38.58879673185897,42,90,988,7.027077768066677,77.14169816499863,-1.34545488630919,-2.4587416720235518,27.263523532101104,65.85232026396473
17,571.3,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,41,90,989,7.027077768066677,77.21977680686604,0.0,1.3866537737241542,0.0,-42.939675869988356
18,607.7,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,41,90,988,7.027077768066677,77.14169816499863,-0.14701606808724954,0.06471688380199382,18.72816153977709,46.018352195941794
19,639.2,11,980,837,76.51706903005937,65.35182324302009,0.0,0.4022324750976959,0.0,-7.879186583696302,41,90,989,7.027077768066677,77.21977680686604,-0.3758892906490178,0.7781217657467778,-7.61680426847047,-0.2623823152245329
20,672.0,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,43,90,988,7.027077768066677,77.14169816499863,-0.3865271699568942,-0.001536885840098172,-7.676805758826098,15.36885840098633
21,707.2,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,40,91,991,7.105156409934085,77.37593409060086,-0.34324890320399803,0.0844019442881319,-22.67254013508862,-45.62267258818024
22,741.3,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,41,89,990,6.948999126199269,77.29785544873346,-0.3749186519622844,-0.4356607268983786,7.6358177589059935,-23.51396425960715
23,772.9,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,42,89,989,6.948999126199269,77.21977680686604,-0.3888188554630051,0.38881885546300066,7.6313808726792,-7.631380872679114
24,810.4,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,42,89,988,6.948999126199269,77.14169816499863,0.026860685932092395,-2.678440998621578,29.845206591214403,-7.920795297666889
25,839.5,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,42,89,988,6.948999126199269,77.14169816499863,0.0,-0.44871052359584396,0.0,23.248184286135356
26,874.8,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,42,89,989,6.948999126199269,77.21977680686604,0.0,-0.4123822055474573,0.0,-8.093860756574239
27,911.8,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,47,91,984,7.105156409934085,76.829383597529,-0.07652236820405693,0.5669756754755488,-31.884320085024054,71.9329584948489
28,943.0,11,980,837,76.51706903005937,65.35182324302009,0.0,0.0,0.0,0.0,42,89,989,6.948999126199269,77.21977680686604,0.0,-0.052214526740890096,0.0,-15.586425892802911
