frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,147.8,12,471,837,36.77504031954894,65.35182324302009,,,,,58,497,954,38.80508500810154,74.48702434150678,,,,
1,147.8,12,471,837,36.77504031954894,65.35182324302009,,,,,57,497,954,38.80508500810154,74.48702434150678,,,,
2,308.8,12,472,837,36.85311896141635,65.35182324302009,,,,,45,438,994,34.198445137924494,77.61017001620309,,,,
3,334.1,11,471,837,36.77504031954894,65.35182324302009,1.213471351790161,0.0,13.027067652068288,0.0,24,403,1015,31.465692672565233,79.24982149541864,26.776084135454774,-20.02236978063537,710.3772570269892,-489.3995909289399
4,357.1,11,471,837,36.77504031954894,65.35182324302009,1.482061276608613,0.0,14.162076221773654,0.0,45,531,962,41.4597588315934,75.11165347644604,-144.5374147500101,46.458405841748444,-1502.350666792476,415.42315797219516
5,370.4,11,472,837,36.85311896141635,65.35182324302009,-1.143356710652846,0.0,-37.12197112509242,0.0,47,433,993,33.80805192858746,77.53209137433568,-3.6759067699580568,-1.6498667225138879,86.4170561580886,-12.414165668456217
6,384.7,11,472,837,36.85311896141635,65.35182324302009,-0.47970657929144467,0.0,-79.9510965485745,0.0,47,432,994,33.72997328672005,77.61017001620309,19.364316920358434,-15.169878036115065,-1003.3324829201256,681.1976835977267
7,400.7,11,472,837,36.85311896141635,65.35182324302009,-0.5468893500024341,0.0,-107.23320588283093,0.0,48,432,993,33.72997328672005,77.53209137433568,-75.57815847568526,24.080372271391088,4665.619303229395,-1441.9384593647344
8,411.4,11,471,837,36.77504031954894,65.35182324302009,-0.8770065678303081,0.0,50.11466101887474,0.0,49,432,992,33.72997328672005,77.45401273246827,-0.8770065678303081,0.32646122035152686,50.11466101887474,108.8204067838423
9,423.3,11,471,837,36.77504031954894,65.35182324302009,-0.9954121917920006,0.0,53.23059849155087,0.0,48,432,993,33.72997328672005,77.53209137433568,0.0,-0.9954121917920006,0.0,53.23059849155087
10,434.1,11,471,837,36.77504031954894,65.35182324302009,-0.6216697812697373,0.0,102.75533574706431,0.0,48,433,993,33.80805192858746,77.53209137433568,0.6216697812697373,0.726424222724938,-102.75533574706431,43.49845645059505
11,446.4,11,471,837,36.77504031954894,65.35182324302009,0.8060289422040648,0.0,46.058796697375136,0.0,48,432,993,33.72997328672005,77.53209137433568,0.0,1.2336453905705957,0.0,-56.981311342752676
12,460.7,11,471,837,36.77504031954894,65.35182324302009,0.7741728299264348,0.0,41.39961657360617,0.0,48,432,993,33.72997328672005,77.53209137433568,0.7741728299264348,0.0,41.39961657360617,0.0
13,479.6,11,472,837,36.85311896141635,65.35182324302009,0.46675583709746526,0.0,-54.91245142323121,0.0,47,432,994,33.72997328672005,77.61017001620309,-0.9930637193148005,0.9930637193148005,31.778039018073617,-31.778039018073617
14,489.7,11,472,837,36.85311896141635,65.35182324302009,0.8759021060536988,0.0,-42.831398829031755,0.0,48,432,993,33.72997328672005,77.53209137433568,0.0,0.0,0.0,0.0
15,506.2,11,472,837,36.85311896141635,65.35182324302009,0.9328782808234487,0.0,-34.42355279791325,0.0,47,433,993,33.80805192858746,77.53209137433568,1.9144948122267533,0.0,8.72442660442981,0.0
16,542.1,11,471,837,36.77504031954894,65.35182324302009,-0.7763409963024538,0.0,15.133352754433792,0.0,47,432,994,33.72997328672005,77.61017001620309,0.0,0.0,0.0,0.0
17,573.9,11,471,837,36.77504031954894,65.35182324302009,-0.507747705833885,0.0,9.965607572794607,0.0,47,432,993,33.72997328672005,77.53209137433568,0.3466760062433147,0.3466760062433147,8.234584471337643,8.234584471337643
18,605.9,11,471,837,36.77504031954894,65.35182324302009,-0.3956487697385966,0.0,7.773060309206214,0.0,47,436,993,34.04228785418968,77.53209137433568,1.18694630921579,0.3794937084918346,-23.319180927618646,7.612712306756964
19,644.7,11,471,837,36.77504031954894,65.35182324302009,0.4150296268762875,0.0,8.090246137939324,0.0,47,432,994,33.72997328672005,77.61017001620309,0.4150296268762875,-0.4150296268762875,8.090246137939324,-8.090246137939324
20,675.8,11,471,837,36.77504031954894,65.35182324302009,0.39822563142237966,0.0,7.816008467563883,0.0,47,433,994,33.80805192858746,77.61017001620309,0.37816326464342054,0.37816326464342054,-7.616581362405243,-7.616581362405243
21,707.7,11,471,837,36.77504031954894,65.35182324302009,0.40165067281654177,0.0,7.890975890305333,0.0,46,436,994,34.04228785418968,77.61017001620309,-1.606602691266167,-0.024089568097345308,-31.56390356122133,-15.54165683699625
22,741.5,11,472,837,36.85311896141635,65.35182324302009,0.032775519462888786,0.0,-15.988058274579801,0.0,47,433,993,33.80805192858746,77.53209137433568,0.032775519462888786,-0.032775519462888786,-15.988058274579801,15.988058274579801
23,775.1,11,472,837,36.85311896141635,65.35182324302009,0.06400884344278374,0.0,-14.547464418814553,0.0,47,433,994,33.80805192858746,77.61017001620309,0.3458175685320078,0.0,6.965107120483536,0.0
24,806.4,11,472,837,36.85311896141635,65.35182324302009,0.012619267525474494,0.0,-15.77408440684166,0.0,48,432,993,33.72997328672005,77.53209137433568,-1.594861394979135,-0.784811429964093,31.80182243228582,0.12682680930125106
25,842.4,11,471,837,36.77504031954894,65.35182324302009,-0.3849841625842491,0.0,7.7073906423273115,0.0,47,432,994,33.72997328672005,77.61017001620309,0.007745966171067681,0.3849841625842491,15.491932342135378,-7.7073906423273115
26,883.2,11,471,837,36.77504031954894,65.35182324302009,-0.33051722371071646,0.0,7.248184730498173,0.0,46,434,994,33.88613057045487,77.61017001620309,1.2592393724887523,-0.46436107438901786,9.934463720529312,-8.591324225513743
27,906.7,11,471,837,36.77504031954894,65.35182324302009,-0.3909640090637054,0.0,7.726561443946752,0.0,49,432,992,33.72997328672005,77.45401273246827,1.5361641011192577,-0.00692298378389091,30.631387858808704,15.384408408648925
28,942.3,11,471,837,36.77504031954894,65.35182324302009,0.3919602656945758,0.0,7.847052366257776,0.0,47,433,994,33.80805192858746,77.61017001620309,-0.0015678394917963841,-0.3919602656945758,-15.678394917968493,-7.847052366257776
29,974.4,11,471,837,36.77504031954894,65.35182324302009,0.37642881473767803,0.0,8.255017867054349,0.0,46,436,993,34.04228785418968,77.53209137433568,-0.2367588002666427,-0.44626382197319575,-42.74144119323537,8.988193796036162
30,1007.9,11,471,837,36.77504031954894,65.35182324302009,0.4023065723409001,0.0,7.950722773535581,0.0,46,436,993,34.04228785418968,77.53209137433568,-0.08781620442042486,0.38035252123579394,-62.72586030030444,-7.730742301540529
31,1042.0,11,472,837,36.85311896141635,65.35182324302009,0.003129413890718404,0.0,-15.647069453596938,0.0,48,432,993,33.72997328672005,77.53209137433568,1.9429826807664956,-0.3923518328221612,54.68642942666039,7.839197458984247
32,1073.7,11,472,837,36.85311896141635,65.35182324302009,0.4043010102155624,0.0,-7.693644342827073,0.0,47,433,993,33.80805192858746,77.53209137433568,-1.9347213285154132,0.0,8.542800140893597,0.0
33,1106.3,11,472,837,36.85311896141635,65.35182324302009,0.399940591128453,0.0,-7.998811822569059,0.0,48,432,993,33.72997328672005,77.53209137433568,-1.2125174875101408,0.0,39.86607812368419,0.0
34,1142.1,11,471,837,36.77504031954894,65.35182324302009,-0.38980830197991406,0.0,7.796166039598281,0.0,46,438,993,34.198445137924494,77.53209137433568,-0.004680038473566452,0.3905883083921752,-93.60076947141692,7.803962205637872
35,1178.8,11,472,837,36.85311896141635,65.35182324302009,-0.43370008129906323,0.0,-8.253093840134417,0.0,48,431,993,33.651894644852646,77.53209137433568,-0.27052911315166167,0.0,23.125938495904734,0.0
36,1206.3,11,472,837,36.85311896141635,65.35182324302009,-0.3915671275855361,0.0,-7.831342551710721,0.0,47,433,993,33.80805192858746,77.53209137433568,-0.001564702241832207,0.0,-15.647022418318016,0.0
37,1242.1,11,471,837,36.77504031954894,65.35182324302009,0.0,0.0,0.0,0.0,47,432,994,33.72997328672005,77.61017001620309,-2.3376651492967118,-0.3958822350729365,46.94106725495399,-23.5333730749401
38,1273.5,11,471,837,36.77504031954894,65.35182324302009,-0.42469584182140496,0.0,8.443257292672074,0.0,48,432,993,33.72997328672005,77.53209137433568,0.42469584182140496,0.3763414080210718,-8.443257292672074,7.948076198966666
39,1306.1,11,471,837,36.77504031954894,65.35182324302009,-0.39078320783963794,0.0,7.847052366257779,0.0,48,432,993,33.72997328672005,77.53209137433568,-0.39078320783963794,0.39235419402621463,7.847052366257779,7.862809499523343
40,1341.7,11,471,837,36.77504031954894,65.35182324302009,0.3878625618888076,0.0,7.788404857204961,0.0,48,432,992,33.72997328672005,77.45401273246827,2.3271753713328454,-0.010942083249682894,46.73042914322977,31.263094999101817
41,1374.1,11,471,837,36.77504031954894,65.35182324302009,0.0,0.0,0.0,0.0,47,432,994,33.72997328672005,77.61017001620309,5.009409940527623,-5.27001901701252,99.59065488126494,-120.20176258134433
42,1405.7,11,471,837,36.77504031954894,65.35182324302009,0.0,0.0,0.0,0.0,47,432,994,33.72997328672005,77.61017001620309,5.936482651118342,-6.650464455922694,119.20647893811915,-149.28487074347714
43,1442.0,11,472,837,36.85311896141635,65.35182324302009,0.06799936513726484,0.0,-14.166534403596643,0.0,45,438,994,34.198445137924494,77.61017001620309,5.154029861698733,-5.627042155788169,9.637556706538701,-143.24913831990918
44,1485.2,11,471,837,36.77504031954894,65.35182324302009,0.0,0.0,0.0,0.0,29,447,977,34.90115291473116,76.28283310445715,6.636593772604043,-7.262532888644024,-70.29841668006928,84.33292600831994
45,1509.0,11,471,837,36.77504031954894,65.35182324302009,0.0,0.0,0.0,0.0,28,448,975,34.97923155659857,76.12667582072234,5.039434550023116,-7.378970014999648,-136.5743027734575,135.1802132589282
