frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,155.0,13,446,373,48.59033619469361,40.6372094184321,,,,,11,311,282,33.882499005716845,30.723037683640356,,,,,,,,,,,,,
1,155.0,13,446,373,48.59033619469361,40.6372094184321,,,,,11,299,303,32.575135700030025,33.010923468592296,,,,,,,,,,,,,
2,305.0,13,446,373,48.59033619469361,40.6372094184321,,,,,11,290,324,31.594613220764906,35.29880925354424,,,,,,,,,,,,,
3,338.0,13,447,373,48.69928313683418,40.6372094184321,0.12755427322438204,0.0,-5.1123957204161155,0.0,11,285,353,31.04987851006206,38.45827057562073,8.69223761327127,130.85836181528364,264.16435121284155,968.1893947395583,,,,,,,,,
4,358.8,13,447,373,48.69928313683418,40.6372094184321,0.08916913956444958,0.0,-4.371036253159292,0.0,11,284,377,30.940931567921492,41.07299718699438,38.70993562594527,162.33868801437157,458.57312691232516,1204.906140490968,,,,,,,,,
5,371.7,13,447,373,48.69928313683418,40.6372094184321,0.6236845455203073,1.6346403629700264,-30.275948811665415,49.014703537332124,11,286,401,31.15882545220263,43.687723798368026,43.27519198107915,155.909973961084,1493.515494291949,903.7223749656742,,,,,,,,,
6,387.9,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,292,424,31.81250710504604,46.193503467601104,69.0670716378314,169.14089011217976,2155.6686758236374,566.1804768795247,,,,,,,,,
7,399.6,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,302,447,32.901976526451726,48.69928313683418,79.02603984568076,161.66948263981794,1517.7064917021582,-1237.7103255181069,,,,,,,,,
8,412.9,13,447,374,48.69928313683418,40.74615636057267,0.0,0.2963488131543805,0.0,-113.98031275168388,11,314,467,34.209339832138554,50.87822197964555,101.05962940808394,146.55442885357647,1311.554283717993,-1357.875050087401,,,,,,,,,
9,424.9,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,329,485,35.84354396424708,52.83926693817579,119.51835467274474,141.55389352990636,571.4277044419479,-2057.3694813267366,,,,,,,,,
10,443.3,13,447,373,48.69928313683418,40.6372094184321,0.0,1.1576460306622736,0.0,52.98151170079056,11,347,501,37.80458892277732,54.58241801242489,136.19120056541578,106.0101975576506,1098.5480034802242,-1309.625376182916,,,,,,,,,
11,459.3,13,447,373,48.69928313683418,40.6372094184321,0.0,-1.180288739141605,0.0,50.33214239409833,11,370,516,40.3103685920104,56.21662214453342,145.80888965767565,80.93928452685013,617.2931408333744,-1470.3639295128698,,,,,,,,,
12,476.8,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,393,527,42.81614826124348,57.415038508079675,156.39375826645622,52.47311365895009,849.589775084505,-1375.4158701551976,,,,,,,,,
13,489.2,13,447,374,48.69928313683418,40.74615636057267,0.0,0.16816803713935422,0.0,-96.09602122248643,10,415,533,45.212980988335985,58.068720160923085,160.14396894963264,38.3096972966654,-54.85439196750718,-1640.2874892194914,,,,,,,,,
14,506.2,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,10,439,536,47.82770759970963,58.39556098734479,133.4472277117167,27.833320763817074,-1144.4429039872764,-794.2827128339572,,,,,,,,,
15,520.4,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,10,463,536,50.44243421108328,58.39556098734479,144.41232256353817,10.941202022586365,-1399.1969174201965,-529.717691145892,,,,,,,,,
16,538.6,13,447,373,48.69928313683418,40.6372094184321,0.0,-1.6426612173217152,0.0,22.783095940661806,11,487,532,53.05716082245693,57.959773218782516,130.6097948337929,-7.811754810636899,-1140.8611592810632,-226.9777782826248,,,,,,,,,
17,606.4,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,10,509,525,55.45399354954944,57.197144623798536,70.15959021692117,-27.755624308614784,-118.78339331403151,-315.27706905091026,,,,,,,,,
18,638.4,13,447,373,48.69928313683418,40.6372094184321,-1.0143867493111327,0.0,-17.192995751036147,0.0,11,530,514,57.74187933450138,55.99872826025228,76.39896129261015,-57.137819354165224,246.42808231972174,-624.164027104135,,,,,,,,,
19,682.8,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,551,500,60.02976511945332,54.47347107028432,50.85908867162858,-50.23445920129021,34.74872984743834,-361.4092451661038,,,,,,,,,
20,706.5,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,568,485,61.881863135842984,52.83926693817579,60.46753195573041,-79.00418903326016,-74.86412439207773,-708.6702780948511,,,,,,,,,
21,706.5,13,446,373,48.59033619469361,40.6372094184321,-0.582563229978736,0.0,29.875037434806973,0.0,11,583,465,63.51606726795151,50.66032809536442,62.11258924904597,-74.41220099022478,-665.9984800749107,116.84004366626326,,,,,,,,,
22,774.2,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,595,444,64.82343057363833,48.372442310412474,36.205242773849626,-93.34323002685137,-355.4018129498222,-581.889897625168,,,,,,,,,
23,774.2,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,604,421,65.80395305290345,45.866662641179396,36.72403526136573,-92.69203833601694,-626.5685696807334,304.3024995791412,,,,,,,,,
24,813.6,13,447,373,48.69928313683418,40.6372094184321,0.4730545044725126,0.0,-10.16228795859318,0.0,11,609,398,66.3486877636063,43.36088297194632,9.16929871072328,-76.14233315863736,-322.67174473036783,-149.14876763288487,,,,,,,,,
25,841.7,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,610,374,66.45763470574687,40.74615636057267,7.414911215687917,-98.80909518249155,-497.6450480327469,419.9383374580521,,,,,,,,,
26,874.0,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,609,350,66.3486877636063,38.13142974919902,-11.349504811980458,-75.14764430669263,-336.82902697951124,47.288563132769355,,,,,,,,,
27,906.7,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,604,327,65.80395305290345,35.62565007996594,-22.187661268242135,-76.38835598338875,-350.947159221628,143.8636371333922,,,,,,,,,
28,939.0,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,595,304,64.82343057363833,33.119870410732865,-32.2160151560973,-70.40410388603577,-316.9680325794882,163.92582074247827,,,,,,,,,
29,974.3,13,447,373,48.69928313683418,40.6372094184321,-0.5488375862981241,0.0,-10.943919966064295,0.0,11,583,283,63.51606726795151,30.831984625780926,-43.159685016743275,-63.70251882172039,-297.47167500977736,180.92929299828245,,,,,,,,,
30,1005.8,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,568,264,61.881863135842984,28.76199272511012,-47.383704313961154,-55.55231342962968,-157.550177725275,276.6417625388394,,,,,,,,,
31,1038.8,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,12,551,247,60.02976511945332,26.909894708720454,-59.53642246186658,-48.589234197962845,-230.53511984073825,273.2459164934522,,,,,,,,,
32,1073.9,13,446,373,48.59033619469361,40.6372094184321,-0.04324748006261315,0.0,21.096331737861686,0.0,11,530,233,57.74187933450138,25.38463751875249,-64.57140157999443,-39.73582701947235,-132.48247284667085,300.32957853280175,,,,,,,,,
33,1121.5,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,508,222,55.34504660740887,24.186221155206237,-75.25999679889668,-25.634054473779656,-324.32177534189026,240.5277959028205,,,,,,,,,
34,1138.5,13,447,373,48.69928313683418,40.6372094184321,0.0,0.5488485979369321,0.0,11.010001964632536,11,486,215,52.94821388031636,23.423592560222257,-74.42903729270411,-18.55531533208664,-68.21342240274241,329.2399183285377,,,,,,,,,
35,1177.6,13,447,373,48.69928313683418,40.6372094184321,0.5128532823393457,0.0,-10.371148277843178,0.0,11,462,210,50.33348726894271,22.878857849519413,-74.34302191837277,-6.721039944180871,-55.976935800935024,336.4069127939395,,,,,,,,,
36,1206.0,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,439,210,47.82770759970963,22.878857849519413,-82.55465348344516,0.046129665780814594,151.66717925790192,367.28721331754565,,,,,,,,,
37,1237.9,13,447,374,48.69928313683418,40.74615636057267,-0.5119377339447007,0.04847894422753917,-10.30055802705634,-21.077801838060953,11,415,213,45.212980988335985,23.20569867594112,-72.55359912268928,12.701485460162337,105.94859684972063,299.6695543525277,,,,,,,,,
38,1276.5,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,392,219,42.70720131910291,23.859380328784532,-71.54167999034426,25.235700017946336,112.62692423427187,309.83656470104887,,,,,,,,,
39,1306.3,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,370,227,40.3103685920104,24.73095586590908,-66.45642511121213,33.93071038588847,169.33438349849004,308.37740722298605,,,,,,,,,
40,1341.9,13,446,373,48.59033619469361,40.6372094184321,-0.5036479188974636,-0.5036479188974636,10.459977547195512,10.459977547195512,11,351,240,38.24037669133959,26.147266113736475,-59.84172488873072,44.14380062136441,138.51052303409756,304.990352593666,,,,,,,,,
41,1373.8,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,333,255,36.279331732809354,27.781470245845004,-53.829285259328934,51.4095178497752,251.45107640324773,228.16585733037735,,,,,,,,,
42,1405.8,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,317,272,34.536180658560255,29.633568262234668,-44.81919317741075,58.81352710976004,265.58485135178887,191.77971285483446,,,,,,,,,
43,1438.2,13,446,373,48.59033619469361,40.6372094184321,0.5312552802585725,0.0,11.03333915386444,0.0,11,304,292,33.119870410732865,31.81250710504604,-37.23423312992421,65.09050606856748,331.0116318736184,130.0398747625764,,,,,,,,,
44,1474.3,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,295,313,32.139347931467746,34.100392889997984,-26.543793270556307,69.32760663242904,291.5437890449637,128.41302391646528,,,,,,,,,
45,1506.1,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,288,335,31.376719336483767,36.49722561709049,-16.250819225432124,72.4738996938736,304.07365217719683,80.61056798491794,,,,,,,,,
46,1538.6,13,447,373,48.69928313683418,40.6372094184321,0.5401216914725636,0.0,-10.856717416533941,0.0,11,285,358,31.04987851006206,39.00300528632357,-5.862816715528466,73.59367965582148,293.916981958967,39.3460532703718,,,,,,,,,
47,1573.6,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,284,382,30.940931567921492,41.61773189769722,4.2396049648716705,74.31800179523398,328.464231809578,-27.901540274875536,,,,,,,,,
48,1605.8,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,287,405,31.2677723943432,44.1235115669303,14.636312838012831,72.50595140445074,315.5277934285192,-79.96760488407281,,,,,,,,,
49,1638.1,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,293,427,31.92145404718661,46.520344294022806,23.710126472501294,69.13352006723089,300.5140368959025,-128.9975022872675,,,,,,,,,
50,1673.7,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,303,449,33.010923468592296,48.91717702111532,34.314758102615286,64.78290456146188,272.4379287846992,-162.60989296732413,,,,,,,,,
51,1706.0,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,315,468,34.31828677427912,50.98716892178612,43.01614468604146,59.29840108451028,250.93591611297015,-183.6561539969744,,,,,,,,,
52,1739.0,13,447,373,48.69928313683418,40.6372094184321,-0.5529589474967872,0.0,-10.960534142651866,0.0,11,329,485,35.84354396424708,52.83926693817579,51.351819862137205,52.627944858618434,247.38870620887238,-198.16949887452512,,,,,,,,,
53,1773.7,13,447,373,48.69928313683418,40.6372094184321,0.0,0.0,0.0,0.0,11,347,501,37.80458892277732,54.58241801242489,57.897027164523756,45.10352958766818,199.20745245347027,-230.9776065085498,,,,,,,,,
