frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,143.4,12,446,372,48.59033619469361,40.52826247629153,,,,,11,517,217,56.32556908667399,23.641486444503396,,,,,,,,,,,,,
1,143.4,12,446,372,48.59033619469361,40.52826247629153,,,,,11,542,231,59.049242640188204,25.166743634471356,,,,,,,,,,,,,
2,298.6,12,446,372,48.59033619469361,40.52826247629153,,,,,11,564,249,61.44607536728071,27.12778859300159,,,,,,,,,,,,,
3,322.6,12,447,372,48.69928313683418,40.52826247629153,0.18138907174476393,0.0,-4.760868024796953,0.0,11,586,274,63.84290809437322,29.851462146515807,42.61112960547024,89.59009071449964,7.3849685109062095,613.1273264375599,,,,,,,,,
4,355.8,12,447,371,48.69928313683418,40.41931553415097,0.10987352320987726,1.368706888029958,-3.795285775816142,17.71788851818716,11,601,299,65.47711222648175,32.575135700030025,30.139824449221308,128.71499329994438,-1.1602168951974265,883.5739921190127,,,,,,,,,
5,387.2,13,447,372,48.69928313683418,40.52826247629153,0.37583329884959127,0.0,-19.273502505107245,0.0,11,611,325,66.56658164788743,35.407756195684804,23.483250573815038,191.49772549332758,-774.4982852821441,2213.191118432606,,,,,,,,,
6,398.8,13,447,372,48.69928313683418,40.52826247629153,0.0,0.0,0.0,0.0,10,616,353,67.11131635859029,38.45827057562073,-1.2509509376764298,177.78307817482016,-1158.6206783047824,1701.6492473241335,,,,,,,,,
7,413.7,13,447,372,48.69928313683418,40.52826247629153,0.0,0.7619384025578646,0.0,-38.67707627197279,10,617,381,67.22026330073085,41.50878495555665,-27.299772543316454,195.76035508156886,-1982.9363977002354,1432.3279692497103,,,,,,,,,
8,426.2,13,447,372,48.69928313683418,40.52826247629153,0.0,0.0,0.0,0.0,10,614,409,66.89342247430915,44.559299335492575,-48.31518822475149,223.55043874324662,-2907.4729351571646,-569.4622338213693,,,,,,,,,
9,441.1,13,447,372,48.69928313683418,40.52826247629153,0.0,0.0,0.0,0.0,10,606,436,66.02184693718459,47.500866773287925,-93.12154499401692,209.2286874343452,-3185.142634051741,-214.8592114127838,,,,,,,,,
10,453.1,13,447,372,48.69928313683418,40.52826247629153,0.0,-1.3566417684621916,0.0,-68.86506438894368,10,593,462,64.60553668935721,50.33348726894271,-120.21609993016843,195.44986315266678,-2733.628444271941,-1448.0889808691084,,,,,,,,,
11,466.8,13,447,372,48.69928313683418,40.52826247629153,0.0,0.0,0.0,0.0,11,574,488,62.5355447886864,53.1661077645975,-156.23125532088534,170.86761977199677,-2408.5894833715943,-2025.7505233830561,,,,,,,,,
12,478.8,13,447,372,48.69928313683418,40.52826247629153,0.0,0.0,0.0,0.0,10,553,507,60.247659003734455,55.2360996652683,-176.58760457599476,150.35596438834176,-1242.7650360797081,-2908.3621703380627,,,,,,,,,
13,493.0,12,447,371,48.69928313683418,40.41931553415097,0.0,-0.3094566443424513,0.0,121.35554680096074,10,529,523,57.63293239236081,56.9792507395174,-183.6491071284693,112.17684360367667,-445.9709140388816,-2725.997212062727,,,,,,,,,
14,504.6,13,447,372,48.69928313683418,40.52826247629153,0.0,0.0,0.0,0.0,10,504,534,54.9092588388466,58.177667103063655,-178.39029307650657,88.3631605910973,1236.1536232858186,-2339.564777193635,,,,,,,,,
15,519.3,13,447,372,48.69928313683418,40.52826247629153,0.0,0.0,0.0,0.0,10,478,541,52.07663834319181,58.940295698047635,-171.08050209593753,59.62466736046071,1514.7207141072263,-1572.1957075819955,,,,,,,,,
16,538.0,13,447,372,48.69928313683418,40.52826247629153,0.0,1.670719865700085,0.0,-33.34770191018133,10,449,544,48.91717702111532,59.267136524469336,-161.2892554345868,27.671743326916015,1439.7421004336575,-1029.7850224599683,,,,,,,,,
17,570.2,13,447,372,48.69928313683418,40.52826247629153,0.0,0.0,0.0,0.0,10,421,541,45.866662641179396,58.940295698047635,-116.12269329973931,-6.086300323129501,662.2488089326944,-539.991957996205,,,,,,,,,
18,606.3,13,447,372,48.69928313683418,40.52826247629153,0.0,0.0,0.0,0.0,10,394,534,42.925095203384046,58.177667103063655,-92.98131457993695,-28.20424894454563,280.6629069502582,-446.85983965952954,,,,,,,,,
